EIN,NAME,STREET,CITY,STATE,ZIP,INCOME_AMT,ASSET_AMT
930444581,OREGON STATE CREDIT UNION,PO BOX 306,CORVALLIS,OR,97339-0306,108880740,1188850394
930425580,GOOD SHEPHERD HEALTH CARE SYSTEM,610 NW 11TH ST,HERMISTON,OR,97838-6601,103933114,193381087
930505325,GRANDE RONDE HOSPITAL INC,900 SUNSET DR,LAGRANDE,OR,97850-1387,101300895,106841154
930728816,CENTRAL CITY CONCERN INC,232 NW 6TH AVE,PORTLAND,OR,97209-3609,94988028,131294566
931329784,SAMARITAN PACIFIC HEALTH SERVICES INC,PO BOX 3000,CORVALLIS,OR,97339-3000,93455276,46264124
930391591,MASONIC AND EASTERN STAR HOME,2150 MASONIC WAY,FOREST GROVE,OR,97116-2020,91053712,58275045
936090239,SCHOOL DISTRICT 1 HEALTH & WELFARE TRUST FUND,700 NE MULTNOMAH ST STE 350,PORTLAND,OR,97232-4197,85792740,43395935
930622075,NORTHWEST MEDICAL FOUNDATION OF TILLAMOOK,1000 3RD ST,TILLAMOOK,OR,97141-3430,84242613,62712557
936021113,UNITED ASSOCIATION UNION LOCAL NO 290 PLUMBER & STEAMFITTER INDUSTRY,12205 SW TUALATIN RD STE 200,TUALATIN,OR,97062-7919,79880481,91150900
930391614,ST ANTHONY HOSPITAL,1601 SE COURT AVE,PENDLETON,OR,97801-3217,79473581,151310919
931046399,OCF JOSEPH E WESTON PUBLIC FOUNDATION,1221 SW YAMHILL ST STE 100,PORTLAND,OR,97205-2108,78779782,374790047
271789847,SAINT ALPHONSUS MEDICAL CENTER- ONTARIO INC,351 SW 9TH ST,ONTARIO,OR,97914-2639,75968030,70219345
930785786,OREGON FOOD BANK INC,7900 NE 33RD DR,PORTLAND,OR,97211-1918,73038945,39146383
930757655,SHEET METAL WORKERS 16 HEALTH AND WELFARE FUND,PO BOX 4148,PORTLAND,OR,97208-4148,70114945,42205507
930251640,ADVANTIS CREDIT UNION,10501 SE MAIN ST,MILWAUKIE,OR,97222-7594,68420484,1372660012
930770054,CASCADIA BEHAVIORAL HEALTHCARE INC,PO BOX 8459,PORTLAND,OR,97207-8459,65431861,40288036
930717997,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,PO BOX 6149,ALOHA,OR,97007-0149,62362545,54133170
930878944,MEDICAL TEAMS INTERNATIONAL,14150 SW MILTON CT,PORTLAND,OR,97224-8024,61885158,32163924
930591240,OREGON CHILD DEVELOPMENT COALITION INC,9140 SW PIONEER CT STE E,WILSONVILLE,OR,97070-9622,61641420,30540292
930389726,NORTHWEST COMMUNITY CREDIT UNION,PO BOX 10607,EUGENE,OR,97440-2607,61174096,1152411749
930579589,DOERNBECHER CHILDRENS HOSPITAL FOUNDATION,1121 SW SALMON ST STE 100,PORTLAND,OR,97205-2020,60499308,80765114
931300043,VOCATIONAL DEVELOPMENT FOUNDATION,1943 SE 6TH AVE,PORTLAND,OR,97214-4508,57810617,155709097
931143759,UNITED ASSOCIATION PLUMBER STMFTR & SHPFTR INDSTRY RETIREE HEALTH TR,12205 SW TUALATIN RD STE 200,TUALATIN,OR,97062-7919,56694717,143672550
383849354,ASANTE PHYSICIAN PARTNERS,2635 SISKIYOU BLVD,MEDFORD,OR,97504-8125,56571943,36273024
930453216,ROGUE VALLEY MANOR,1200 MIRA MAR AVE,MEDFORD,OR,97504-8546,56039382,239179794
930958642,OREGON TRAIL ELECTRIC CONSUMERS COOPERATIVE INC,PO BOX 226,BAKER CITY,OR,97814-0226,56016818,132892115
200195556,OCHIN INC,1881 SW NAITO PKWY,PORTLAND,OR,97201-5195,53899432,53173226
930243503,UNITUS COMMUNITY CREDIT UNION,1300 SW 6TH AVE 5TH FLR,PORTLAND,OR,97201-3464,52287697,1118025963
936024307,RIVERMARK COMMUNITY CREDIT UNION,8505 SW CREEKSIDE PL,BEAVERTON,OR,97008-7165,51926623,829184553
911829317,FAMILY HEALTH PLANS INC,825 NE MULTNOMAH ST STE 1400,PORTLAND,OR,97232-2598,51907591,28806864
936024141,OREGON LABORERS-EMPLOYERS HEALTH AND WELFARE TRUST FUND,PO BOX 4148,PORTLAND,OR,97208-4148,50148593,25682195
30373895,JAMES F AND MARION L MILLER FOUNDATION,520 SW YAMHILL ST STE 520,PORTLAND,OR,97204-1328,49340069,149392986
936021893,COLLINS FOUNDATION,1618 SW 1ST AVE STE 505,PORTLAND,OR,97201-5706,49314789,237857579
936029224,UNITED METAL TRADES ASSOCIATION TRUST,1919 NE PACIFIC ST STE 200,PORTLAND,OR,97232-2297,47750673,40280298
943192331,JAMES AND SHIRLEY RIPPEY FAMILY FOUNDATION,565 HIGHLINE RD,HOOD RIVER,OR,97031-9554,45992571,78185764
930814638,OREGON PUBLIC BROADCASTING,7140 SW MACADAM AVE,PORTLAND,OR,97219-3013,45757238,77882862
930232310,MULTNOMAH ATHLETIC CLUB,1849 SW SALMON ST,PORTLAND,OR,97205-1726,45340702,92506369
930619733,PORTLAND STATE UNIVERSITY FOUNDATION,1600 SW 4TH AVE STE 730,PORTLAND,OR,97201-5519,44727686,123198395
930502822,LIFEWORKS NW,14600 NW CORNELL RD,PORTLAND,OR,97229-5442,43769998,48159055
930386966,TRILLIUM FAMILY SERVICES INC,3415 SE POWELL BLVD,PORTLAND,OR,97202-3371,42962371,27541008
930386780,ALBERTINA KERR CENTERS,424 NE 22ND AVE,PORTLAND,OR,97232-2809,41448585,35773804
930864012,INLANDBOATMENS UNION OF THE PACIFIC NATIONAL HEALTH & WELFARE TRUST,5331 SW MACADAM AVE STE 258,PORTLAND,OR,97239-3871,41391901,37763154
916034674,ALASKA TEAMSTER-EMPLOYER WELFARE TRUST,5331 SW MACADAM AVE STE 258,PORTLAND,OR,97239-3871,41387044,13003795
810609831,COLUMBIACARE SERVICES INC,3587 HEATHROW WAY,MEDFORD,OR,97504-4004,40832172,45882208
237108002,MAYBELLE CLARK MACDONALD FUND,PO BOX 1496,BEND,OR,97709-1496,40817516,137316147
943092928,INTEL FOUNDATION,5200 NE ELAM YOUNG PKWY,HILLSBORO,OR,97124-6463,40474283,25079777
930468003,FIRST COMMUNITY CREDIT UNION,200 N ADAMS ST,COQUILLE,OR,97423-1804,40220918,1044692282
930468214,RELAY RESOURCES,5312 NE 148TH AVE,PORTLAND,OR,97230-3438,40211890,76848421
930407022,OREGON SHAKESPEARE FESTIVAL ASSOCIATION,PO BOX 158,ASHLAND,OR,97520-0158,40190750,48592998
941312349,CORBAN UNIVERSITY,5000 DEER PARK DR SE,SALEM,OR,97317-9392,39589076,25264258
931229227,LARRY AND JEANETTE EPPING FAMILY FOUNDATION,PO BOX 2305,SALEM,OR,97308-2305,39575599,97285760
930386804,CATLIN GABEL SCHOOL,8825 SW BARNES RD,PORTLAND,OR,97225-6527,38846229,70422999
930454786,ST VINCENT DE PAUL SOCIETY OF LANE COUNTY INC,2890 CHAD DR,EUGENE,OR,97408-7336,37730699,75882993
930465543,MARION AND POLK SCHOOLS CREDIT UNION,PO BOX 12398,SALEM,OR,97309-0398,37574462,691103235
930582124,UNITED WAY OF THE COLUMBIA- WILLAMETTE,619 SW 11TH AVE STE 300,PORTLAND,OR,97205-2646,37153215,24400809
931228867,NORTHWEST ENERGY EFFICIENCY ALLIANCE INC,421 SW 6TH AVE STE 600,PORTLAND,OR,97204-1619,36408989,14610592
930146827,COOS-CURRY ELECTRIC COOPERATIVE INC,PO BOX 1268,PORT ORFORD,OR,97465-1268,35964808,108010862
930243443,OREGON EDUCATION ASSOCIATION,6900 SW ATLANTA ST,PORTLAND,OR,97223-2513,35768085,44669378
910973983,PLUMBING & PIPEFITTING INDUSTRY HEALTH & WELFARE FUND LOCAL UNION,5331 SW MACADAM AVE STE 258 PMB 116,PORTLAND,OR,97239-3871,34993458,20478267
930804385,OPTIONS FOR SOUTHERN OREGON,1215 SW G ST,GRANTS PASS,OR,97526-2544,34816542,35555253
202587840,OREGON CONNECTIONS ACADEMY,833 NW SANTIAM BLVD,MILL CITY,OR,97360-2101,34798632,12962255
930988354,HEATHERINGTON FOUNDATION FOR INNOVATION AND EDUCATION IN HEALT,825 NE MULTNOMAH ST STE 1400,PORTLAND,OR,97232-2598,33873268,15154836
936087366,ASANTE FOUNDATION,2650 SISKIYOU BLVD,MEDFORD,OR,97504-8170,33606500,29190648
930323147,SERVICE EMPLOYEES INTERNATIONAL UNION,PO BOX 12159,SALEM,OR,97309-0159,33352262,24243563
510480478,VETERANS CARE CENTERS OF OREGON,700 VETERANS DR,THE DALLES,OR,97058-9757,33014859,4440637
930980637,PARTNERSHIPS IN COMMUNITY LIVING INC,PO BOX 129,MONMOUTH,OR,97361-0129,32484750,9210557
271790052,SAINT ALPHONSUS MEDICAL CENTER BAKER CITY INC,3325 POCAHONTAS RD,BAKER CITY,OR,97814-1464,32364390,15891159
930473211,MENNONITE HOME OF ALBANY INC,5353 COLUMBUS ST SE,ALBANY,OR,97322-7136,32214118,62543611
943096772,LA CLINICA DEL VALLE FAMILY HEALTH CARE CENTER INC,3617 S PACIFIC HWY,MEDFORD,OR,97501-8957,31995226,29114623
911833480,MARYS WOODS AT MARYLHURST INC,17400 HOLY NAMES DR STE 70,LAKE OSWEGO,OR,97034-5187,31954980,242047622
946667029,CALIFORNIA TEACHERS ASSOCIATION EMP HEALTH & WEL BENEFITS TR 011994,PO BOX 4148,PORTLAND,OR,97208-4148,31535429,21708331
342030255,MIRA BELLA,1 W MAIN ST STE 303,MEDFORD,OR,97501-2796,31531576,217254190
930572370,GOODWILL INDUSTRIES OF LANE COUNTY,1010 GREEN ACRES RD,EUGENE,OR,97408-6501,30418690,34827347
930386880,OREGON HUMANE SOCIETY,1067 NE COLUMBIA BLVD,PORTLAND,OR,97211-1411,30401244,64844941
431960221,SALEM HEALTH WEST VALLEY,525 SE WASHINGTON ST,DALLAS,OR,97338-2834,30059050,21433845
237056987,MID-WILLAMETTE VALLEY COMMUNITY ACTION AGENCY INC,2475 CENTER ST NE,SALEM,OR,97301-4520,29930509,11674678
930309970,UNIVERSITY OF WESTERN STATES,2900 NE 132ND AVE,PORTLAND,OR,97230-3014,29681198,28177582
931329158,MOSAIC MEDICAL,375 NW BEAVER ST,PRINEVILLE,OR,97754-1802,29452363,15815046
931268744,GALT FOUNDATION,2405 FRONT ST NE,SALEM,OR,97301-0724,28961852,15627522
237332778,UNIVERSITY OF OREGON BOOKSTORE INC,895 E 13TH AVE,EUGENE,OR,97401-4716,28864533,19691993
237257390,HOLT INTERNATIONAL CHILDRENS SERVICES INC,250 COUNTRY CLUB RD,EUGENE,OR,97401-2231,27926242,20426648
930386981,YOUNG MENS CHRISTIAN ASSOCIATION OF COLUMBIA WILLAMETTE,9500 SW BARBUR BLVD STE 200,PORTLAND,OR,97219-5426,27273875,25394134
526038494,SHEET METAL WORKERS 100 WELFARE FUND,3140 NE BROADWAY ST,PORTLAND,OR,97232-1813,27217395,27090205
930354176,MORRISON CHILD & FAMILY SERVICES,11035 NE SANDY BLVD,PORTLAND,OR,97220-2553,27214688,11906187
936031208,OREGON PROCESSORS EMPLOYEES TRUST,PO BOX 4148,PORTLAND,OR,97208-4148,26721895,13690830
936049213,OREGON-WASHINGTON CARPENTERS VAC-SA V,3140 NE BROADWAY ST,PORTLAND,OR,97232-1813,26479994,9631980
930554941,COMMUNITY ACTION ORGANIZATION,1001 SW BASELINE ST,HILLSBORO,OR,97123-3822,26463006,7234554
263946191,CENTENNIAL MEDICAL GROUP INC,2700 NW STEWART PKWY,ROSEBURG,OR,97471-1281,26309755,3479808
930977878,ORGANIZATION FOR EDUCATIONAL TECHNOLOGY AND CURRICULUM,471 HIGH ST SE STE 10,SALEM,OR,97301-3995,26284864,7003132
930421470,WILLAMETTE COMMUNITY HEALTH SOLUTIONS,2650 SUZANNE WAY STE 200,EUGENE,OR,97408-7619,26200433,39173067
510204735,THE MATH LEARNING CENTER,PO BOX 12929,SALEM,OR,97309-0929,26017638,27104370
931179254,UNIVERSITY RETIREMENT COMMUNITY AT DAVIS INC,1 W MAIN ST STE 303,MEDFORD,OR,97501-2796,25992313,95304568
930634049,MARYLHURST UNIVERSITY,520 SW YAMHILL ST STE 500,PORTLAND,OR,97204-1328,25810580,37543851
711016384,MIRABELLA AT SOUTH WATERFRONT,1 W MAIN ST STE 303,MEDFORD,OR,97501-2796,25760167,181038363
930806295,IRCO,10301 NE GLISAN ST,PORTLAND,OR,97220-4013,25437081,8930052
930391604,PORTLAND ART MUSEUM,1219 SW PARK AVE,PORTLAND,OR,97205-2430,25326406,143259197
931215381,LIFEWAYS INC,702 SUNSET DR,ONTARIO,OR,97914-3121,25292967,18798799
930398802,MULTNOMAH UNIVERSITY,8435 NE GLISAN ST,PORTLAND,OR,97220-5814,25285476,30533679
930509414,SHANGRI-LA CORPORATION,4080 REED ROAD SE,SALEM,OR,97302-1357,25188877,13603355
930513697,HOLLADAY PARK PLAZA INC,1 W MAIN ST STE 303,MEDFORD,OR,97501-2796,24890710,70999549
930433696,NORTHWEST CHRISTIAN UNIVERSITY,828 E 11TH AVE,EUGENE,OR,97401-3745,24741435,35294987
930756143,PARTNERS IN CARE INC,2075 NE WYATT CT,BEND,OR,97701-7686,24517132,20701324
931139187,PACIFIC NORTHWEST COLLEGE OF ART,511 NW BROADWAY,PORTLAND,OR,97209-3404,24362338,41262984
930857426,WORKSYSTEMS INC,1618 SW FIRST AVE SUITE,PORTLAND,OR,97201-5752,24269863,7131226
930611783,ADAPT,548 SE JACKSON ST STE 1,ROSEBURG,OR,97470-4970,23645536,14706834
930723862,TRAVEL PORTLAND,100 SW MAIN ST STE 1100,PORTLAND,OR,97204-3258,23554411,11473346
237098400,THE NATIVE AMERICAN REHABILITATION ASSOC OF THE NORTHWEST INC,1776 SW MADISON ST,PORTLAND,OR,97205-1715,23249822,13139871
930461940,NATIONAL UNIVERSITY OF NATURAL MEDICINE,049 SW PORTER ST,PORTLAND,OR,97201-4848,22686511,27005192
930752805,SISTERS OF ST MARY OF OREGON MARYVILLE CORPORATION,14645 SW FARMINGTON RD,BEAVERTON,OR,97007-2727,22650717,23857870
930464898,OREGON BAKERS UNION TRUST FUND,PO BOX 4148,PORTLAND,OR,97208-4148,21890677,7752065
931014288,ALTERNATIVE SERVICES-OR INC,7165 SW FIR LOOP STE 200,TIGARD,OR,97223-8055,21703667,10343426
930386890,WARNER PACIFIC COLLEGE,2219 SE 68TH AVE,PORTLAND,OR,97215-4026,21677952,32937472
930605570,NORTHWEST HUMAN SERVICES INC,681 CENTER ST NE,SALEM,OR,97301-3722,21528429,25205117
930910794,ONE COMMUNITY HEALTH LA CLINICA DEL CARINO FAMILY HELTH,849 PACIFIC AVE,HOOD RIVER,OR,97031-1956,21396936,18105001
930587136,UNITED COMMUNITY ACTION NETWORK,280 NE KENNETH FORD DR,ROSEBURG,OR,97470-1034,21153185,19260753
930628804,SISKIYOU COMMUNITY HEALTH CENTER INC,1701 NW HAWTHORNE AVE,GRANTS PASS,OR,97526-1051,21078916,19960010
930792758,WESTERN GROCERS EMPLOYEE BENEFITS TRUST,PO BOX 22166,PORTLAND,OR,97269-2166,20459969,7132620
930402877,OREGON MUSEUM OF SCIENCE AND INDUSTRY,1945 SE WATER AVE,PORTLAND,OR,97214-3356,20388298,52495485
930446527,OREGON SYMPHONY ASSOCIATION,921 SW WASHINGTON ST STE 200,PORTLAND,OR,97205-2800,20305066,17270925
930498054,CAPITAL MANOR INC,1955 DALLAS HWY NW SUITE 1200,SALEM,OR,97304-4805,20138058,71100342
930415213,DALLAS MENNONITE RETIREMENT COMMUNITY INC,377 NW JASPER ST,DALLAS,OR,97338-1279,20083101,61136943
930395591,VOLUNTEERS OF AMERICA INC,3910 SE STARK ST,PORTLAND,OR,97214-3241,19994201,15709489
930558819,ELKS YOUTH EYE SERVICE,PO BOX 3168,PORTLAND,OR,97208-3168,19516072,52223600
931244750,LOGSDON CHARITABLE FOUNDATION,180 NW 2ND ST,PRINEVILLE,OR,97754-1808,19481643,1766410
731668317,PARADIGM INDEMNITY CORPORATION,PO BOX 3000,CORVALLIS,OR,97339-3000,19472051,35296616
930848530,LEGACY VISITING NURSE ASSOCIATION,815 NE DAVIS ST,PORTLAND,OR,97232-2964,19186874,8328329
930553346,EDUCATION NORTHWEST,101 SW MAIN ST STE 500,PORTLAND,OR,97204-3213,19138144,8145461
930746782,INTERNATIONAL SOCIETY FOR TECHNOLOGY IN EDUCATION,621 SW MORRISON ST STE 800,PORTLAND,OR,97205-3825,19033099,13553680
930716860,CODA INC,1027 E BURNSIDE ST,PORTLAND,OR,97214-1328,18955746,15644089
930801200,HABITAT FOR HUMANITY PORTLAND METRO EAST,1478 NE KILLINGSWORTH,PORTLAND,OR,97211-4981,18635751,25178791
911662698,CRAFT3,42 7TH ST STE 100,ASTORIA,OR,97103-4226,18186004,133213071
237017276,GOOD SAMARITAN FOUNDATION,PO BOX 4484,PORTLAND,OR,97208-4484,18051382,97855019
930685734,LUKE-DORF,8915 SW CENTER ST,TIGARD,OR,97223-6307,17915882,18015130
930753926,KLAMATH CHILD AND FAMILY TREATMENT CENTER,2210 N ELDORADO AVE,KLAMATH FALLS,OR,97601-6418,17747584,13131115
931086629,SELF ENHANCEMENT INC,3920 N KERBY AVE,PORTLAND,OR,97227-1255,17681955,8726443
930512235,MERCY FLIGHTS INC,2020 MILLIGAN WAY,MEDFORD,OR,97504-5894,17606610,23076530
931326405,WESTERN RIVERS CONSERVANCY,71 SW OAK ST STE 100,PORTLAND,OR,97204-3419,17426107,64170886
521957214,STAND FOR CHILDREN LEADERSHIP CENTER,2121 SW BROADWAY STE 111,PORTLAND,OR,97201-3180,17390387,20695960
936028906,WESTERN STATES LOCAL UNION TRUST FUND OF THE OFFICE EMPLOYEES INTER,5331 SW MACADAM AVE STE 258 PMB 116,PORTLAND,OR,97239-3871,17372123,15625565
261168995,OREGON VIRTUAL ACADEMY,400 VIRGINIA,NORTH BEND,OR,97459-3477,17371444,6362116
921069936,ALBINA HEAD START INC,3417 NE 7TH AVE,PORTLAND,OR,97212-2111,17361529,20294113
930888347,FOOD FOR LANE COUNTY,770 BAILEY HILL RD,EUGENE,OR,97402-5451,17347870,10843235
273445544,ORBIS CASCADE ALLIANCE,2288 OAKMONT WAY,EUGENE,OR,97401-5519,17340547,3728899
930591582,TRANSITION PROJECTS INC,665 NW HOYT ST,PORTLAND,OR,97209-3769,17275312,9328198
930571472,NATIONAL PSORIASIS FOUNDATION,6600 SW 92ND AVE STE 300,PORTLAND,OR,97223-7195,17259063,10616789
800875249,RMF FOUNDATION,9450 SW GEMINI DR 14354,BEAVERTON,OR,97008-7105,17242830,23753187
930575982,PROVIDENCE ST VINCENT MEDICAL FOUNDATION,9205 SW BARNES RD,PORTLAND,OR,97225-6603,17211284,207998960
352198318,OREGON INDEPENDENT COLLEGES EMPLOYEE BENEFITS TR,700 NE MULTNOMAH ST STE 1300,PORTLAND,OR,97232-4113,17120096,3405286
930564141,SOUTHERN OREGON GOODWILL INDUSTRIES,11 W JACKSON ST,MEDFORD,OR,97501-2332,17061988,10327975
930884929,NEIGHBORIMPACT,2303 SW 1ST ST,REDMOND,OR,97756-7133,17021083,9394850
931067253,PACIFIC RETIREMENT SERVICES INC,1 W MAIN ST STE 303,MEDFORD,OR,97501-2796,16824966,59681840
930813981,REACH COMMUNITY DEVELOPMENT INC,4150 SW MOODY AVE,PORTLAND,OR,97239-4417,16513036,62515613
931009305,OREGON BALLET THEATRE,0720 SW BANCROFT ST,PORTLAND,OR,97239-4226,16431288,5571115
930630376,DELPHI SCHOOLS INC,20950 SW ROCK CREEK RD,SHERIDAN,OR,97378-9740,16382298,33414072
510163758,OREGON INSURANCE GUARANTY ASSOCIATION,10700 SW BEAVERTON HWY SUITE 426,BEAVERTON,OR,97005-0000,16332258,62502886
237366812,ROGUE COMMUNITY HEALTH,900 E MAIN ST,MEDFORD,OR,97504-7136,16264749,10743740
930608012,UNIVERSITY MEDICAL GROUP INC,1706 NW 24TH AVE UNIT 29166,PORTLAND,OR,97296-6621,16257758,9820940
930665396,ACCESS,3630 AVIATION WAY,MEDFORD,OR,97504-9758,16119156,9144685
930564896,SOUTHERN OREGON CHILD AND FAMILY COUNCIL INC,PO BOX 3697,CENTRAL POINT,OR,97502-0031,16107060,8083098
475373459,BRENDEN FAMILY FOUNDATION,PO BOX 2004,SILVERTON,OR,97381-0416,16077249,28025606
