,EIN,SEC_NAME,FRCD,SUBSECCD,TAXPER,ASSETS,INCOME,NAME,ADDRESS,CITY,STATE,NTEECONF,NTEEFINAL,NAICS,ZIP5,OUTNCCS,OUTREAS,RULEDATE,FIPS,FNDNCD,PMSA,MSA_NECH,CASSETS,CFINSRC,CTAXPER,CTOTREV,ACCPER,RANDNUM,NTEECC,NTEE1,LEVEL4,LEVEL1,NTMAJ10,MAJGRPB,LEVEL3,LEVEL2,NTMAJ12,NTMAJ5,FILER,ZFILER
15866,20667840,,10,3,201712.0,1576842.0,307204.0,IONE EDUCATION FOUNDATION,PO BOX 61,IONE,OR,,B11,813219.0,97843.0,IN,,200303,41049.0,15,,,1266499.0,16eofinextract990.dat,201512.0,135241.0,12.0,0.9299233643619056,B11,B,B,PC,ED,B,ZA,S,ED,ED,Y,N
16240,20696828,,1,3,201712.0,49303.0,13516.0,MCCARGAR FAMILY FOUNDATION,3613 NE MALLORY AVE,PORTLAND,OR,,T22,813211.0,97212.0,IN,,200307,41051.0,4,6440.0,6442.0,,,,,12.0,0.8818403079026317,T22,T,T,PF,PU,T,ZC,S,PU,OT,Y,N
16349,20704277,,10,3,201706.0,2056390.0,1673589.0,SILETZ VALLEY SCHOOL,PO BOX 247,SILETZ,OR,,B29,611110.0,97380.0,IN,,200404,41041.0,11,,,1095612.0,16eofinextract990.dat,201506.0,1669743.0,6.0,0.0571898645619553,B29,B,B,PC,ED,B,ED,O,ED,ED,Y,N
16476,20712956,,20,3,201712.0,4693.0,28050.0,OREGON ANIMAL RESCUE,29420 SE LARIAT LN,BORING,OR,,D20,813312.0,97009.0,IN,,201410,41005.0,15,6440.0,6442.0,0.0,16eofinextract990.dat,201512.0,22758.0,12.0,0.8947016668550906,D20,D,D,PC,EN,D,EN,O,EN,OT,Y,N
16688,20730472,,10,3,201806.0,58892.0,124097.0,SOUTH SALEM ATHLETIC BOOSTER CLUB INC,1910 CHURCH ST SE,SALEM,OR,,B11,813219.0,97302.0,IN,,200411,41047.0,15,7080.0,6442.0,55176.0,16eofinextractez.dat,201506.0,36212.0,6.0,0.02314217208519731,B11,B,B,PC,ED,B,ZA,S,ED,ED,Y,N
16783,20737091,OREGON FEDERATION OF MUSIC CLUBS,20,3,201806.0,0.0,0.0,NATIONAL FEDERATION OF MUSIC CLUBS,15805 S ABIQUA RD NE,SILVERTON,OR,,A68,711130.0,97007.0,IN,,200202,41067.0,16,6440.0,6442.0,,,,,6.0,0.7880591384098583,A68,A,A,PC,AR,A,AR,O,AR,AR,Y,Y
17079,20761530,,10,9,201706.0,1197571.0,1479720.0,REGIONAL DISTRICT COUNCIL VACATION TRUST FUND,3140 NE BROADWAY ST,PORTLAND,OR,,J22,624310.0,97232.0,IN,,200705,41051.0,0,6440.0,6442.0,989924.0,16eofinextract990.dat,201506.0,1090658.0,6.0,0.9513110553153736,J22,J,J,O,HU,J,HS,O,HU,HU,Y,N
21030,30373895,,1,3,201712.0,149392986.0,49340069.0,JAMES F AND MARION L MILLER FOUNDATION,520 SW YAMHILL ST STE 520,PORTLAND,OR,,T22,813211.0,97204.0,IN,,200303,41051.0,4,6440.0,6442.0,,,,,12.0,0.5618000435965488,T22,T,T,PF,PU,T,ZC,S,PU,OT,Y,N
21153,30383463,,10,3,201712.0,104764.0,112118.0,OREGON RURAL ACTION INC,PO BOX 1231,LA GRANDE,OR,,S21,813410.0,97850.0,IN,,200209,41061.0,15,,,22837.0,16eofinextractez.dat,201512.0,177276.0,12.0,0.8805940398906535,S21,S,S,PC,PU,S,PB,O,PU,OT,Y,N
21781,30425839,,60,3,201712.0,1101.0,71044.0,BUDDHIST COMMUNITY OF OREGON,14719 SE POWELL BLVD,PORTLAND,OR,,X50,813110.0,97236.0,IN,,200306,41051.0,10,6440.0,6442.0,0.0,16eofinextract990.dat,201512.0,209159.0,12.0,0.4443918488668885,X50,X,X,PC,RE,X,RE,O,RE,OT,Y,N
22195,30456181,,10,3,201706.0,277282.0,515803.0,COLUMBIA SLOUGH WATERSHED COUNCIL INC,7040 NE 47TH AVE,PORTLAND,OR,,C32,813312.0,97218.0,IN,,200308,41051.0,15,6440.0,6442.0,303439.0,16eofinextract990.dat,201506.0,644922.0,6.0,0.8666333907812708,C32,C,C,PC,EN,C,EN,O,EN,OT,Y,N
22309,30464922,,1,3,201712.0,482900.0,153019.0,NOEL C NELSON AND CHILDREN FOUNDATION,6400 SE LAKE RD STE 150,MILWAUKIE,OR,,T22,813211.0,97222.0,IN,,200209,41005.0,4,6440.0,6442.0,,,,,12.0,0.8425657547257437,T22,T,T,PF,PU,T,ZC,S,PU,OT,Y,N
22402,30471427,,1,3,201712.0,624484.0,237165.0,NORMAN F AND ELISE I SWANTON FAMILY FOUNDATION INC,61891 BUNKER HILL CT,BEND,OR,,T22,813211.0,97702.0,IN,,200209,41017.0,4,,,,,,,12.0,0.4286042648753855,T22,T,T,PF,PU,T,ZC,S,PU,OT,Y,N
22418,30473181,,10,3,201806.0,3736117.0,4190805.0,ADELANTE MUJERES,2030 MAIN ST STE A,FOREST GROVE,OR,,P84,624120.0,97116.0,IN,,200302,41067.0,15,6440.0,6442.0,1086374.0,16eofinextract990.dat,201606.0,2301143.0,6.0,0.9081639938963012,P84,P,P,PC,HU,P,HS,O,HU,HU,Y,N
22775,30498375,,10,3,201706.0,26664.0,131627.0,CANBY JUNIOR BASKETBALL,PO BOX 1084,CANBY,OR,,N62,713990.0,97013.0,IN,,200303,41005.0,16,6440.0,6442.0,22812.0,16eofinextractez.dat,201606.0,95950.0,6.0,0.31897048385413584,N62,N,N,PC,HU,N,HS,O,HU,HU,Y,N
23177,30529330,,10,3,201712.0,48409.0,417505.0,ROGUE FARM CORPS,PO BOX 533,ASHLAND,OR,,C40,712130.0,97520.0,IN,,200410,41029.0,15,,4890.0,89598.0,16eofinextract990.dat,201512.0,256348.0,12.0,0.8518716874831862,C40,C,C,PC,EN,C,EN,O,EN,OT,Y,N
23953,30590874,,10,3,201712.0,221879.0,2287873.0,OREGON INDIGENT DEFENSE CONSORTIUM INC,165 SE 26TH AVE,HILLSBORO,OR,,I80,541199.0,97123.0,IN,,200907,41067.0,16,6440.0,6442.0,77625.0,16eofinextract990.dat,201512.0,1551999.0,12.0,0.8214159440684892,I80,I,I,PC,HU,I,HS,O,HU,HU,Y,N
37122,43401323,,10,3,201712.0,774914.0,1067587.0,AMERICA WALKS INC,PO BOX 10581,PORTLAND,OR,,N02,541618.0,97296.0,IN,,199808,41051.0,15,6440.0,6442.0,277581.0,16eofinextract990.dat,201512.0,954458.0,12.0,0.9747085954241526,N02,N,N,PC,HU,N,HS,O,HU,HU,Y,N
39096,43549245,,10,3,201712.0,61486.0,120616.0,ORANGE CRUSH WRESTING CLUB,PO BOX 882,CORVALLIS,OR,,N60,713990.0,97339.0,IN,,200309,41003.0,16,,,57364.0,16eofinextractez.dat,201512.0,100503.0,12.0,0.7106201127185673,N60,N,N,PC,HU,N,HS,O,HU,HU,Y,N
39644,43585480,SMOCKVILLE MONTESSORI,10,3,201807.0,288769.0,170627.0,CASA DEI BAMBINI MONTESSORI SCHOOL,22444 SW OAK ST,SHERWOOD,OR,,B20,611110.0,97140.0,IN,,200311,41067.0,11,6440.0,6442.0,281725.0,16eofinextractez.dat,201607.0,192766.0,7.0,0.6728553556914357,B20,B,B,PC,ED,B,ED,O,ED,ED,Y,N
40676,43665932,,20,3,201712.0,31514.0,3672.0,IAWP FOUNDATION INC,PO BOX 13485,PORTLAND,OR,,I60,541199.0,97213.0,IN,,200211,41051.0,15,6440.0,6442.0,35012.0,16eofinextractez.dat,201512.0,11519.0,12.0,0.8400346917839624,I60,I,I,PC,HU,I,HS,O,HU,HU,Y,N
41176,43703021,,10,3,201706.0,38764094.0,7583283.0,ABBEY FOUNDATION OF OREGON,1 ABBEY DR,ST BENEDICT,OR,,T20,813211.0,97373.0,IN,,200804,41047.0,17,7080.0,6442.0,36209309.0,core2014pc,201506.0,6349744.0,6.0,0.7016519468031852,T20,T,T,PC,PU,T,ZC,S,PU,OT,Y,N
42058,43774565,,10,3,201706.0,11059478.0,260419.0,CEDARSINAI PARK FOUNDATION,6125 SW BOUNDARY ST,PORTLAND,OR,,L11,813219.0,97221.0,IN,,200410,41051.0,17,6440.0,6442.0,11180283.0,16eofinextract990.dat,201506.0,263792.0,6.0,0.7530399394914126,L11,L,L,PC,HU,L,ZA,S,HU,HU,Y,N
42290,43793590,,1,3,201705.0,1212347.0,317613.0,BARR FAMILY FOUNDATION,3455 W 1ST AVE,EUGENE,OR,,T22,813211.0,97402.0,IN,,200504,41039.0,4,,2400.0,,,,,5.0,0.10046711396307206,T22,T,T,PF,PU,T,ZC,S,PU,OT,Y,N
49706,50543153,,10,3,201712.0,10117.0,86289.0,MARIA DUSCIUC MINISTRIES INC,PO BOX 16231,PORTLAND,OR,,X20,813110.0,97292.0,IN,,200807,41051.0,16,6440.0,6442.0,7106.0,16eofinextractez.dat,201512.0,61024.0,12.0,0.8730925350322182,X20,X,X,PC,RE,X,RE,O,RE,OT,Y,N
49981,50562732,,10,3,201712.0,418039.0,1065547.0,LIFE IMPACT INC,PO BOX 906,BEND,OR,,X20,813110.0,97708.0,IN,,200307,41017.0,15,,,159660.0,16eofinextract990.dat,201512.0,729403.0,12.0,0.11782984618660165,X20,X,X,PC,RE,X,RE,O,RE,OT,Y,N
50476,50601715,,20,3,201712.0,7441.0,6063.0,FELLOWSHIP ASSOCIATION OF SAINT THERESE,PO BOX 13237,PORTLAND,OR,B,Q33,813311.0,97213.0,IN,,200412,41051.0,15,6440.0,6442.0,4443.0,16eofinextract990.dat,201512.0,2908.0,12.0,0.7907215538463792,Q33,Q,Q,PC,IN,Q,IN,O,IN,OT,Y,N
50882,50632305,,10,3,201712.0,72757.0,172813.0,NORTHWEST KIDNEY KIDS INC,PO BOX 230075,PORTLAND,OR,,G44,813212.0,97281.0,IN,,200610,41067.0,15,6440.0,6442.0,52108.0,16eofinextractez.dat,201512.0,92682.0,12.0,0.691198779143624,G44,G,G,PC,HE,G,HE,O,HE,HE,Y,N
59148,61535427,,1,3,201712.0,739771.0,70248.0,BENZIEN FAMILY FOUNDATION INC,3704 SE OGDEN ST,PORTLAND,OR,,T22,813211.0,6824.0,IN,,200004,9001.0,4,,5483.0,,,,,12.0,0.013894493827051324,T22,T,T,PF,PU,T,ZC,S,PU,OT,Y,N
61012,61670156,BARBARA STROUD,10,3,201712.0,30812.0,52185.0,GREEN VILLAGE SCHOOLS,PO BOX 80061,PORTLAND,OR,,Q33,813311.0,97280.0,IN,,200306,41051.0,15,6440.0,6442.0,60168.0,16eofinextractez.dat,201512.0,110377.0,12.0,0.6968592414882019,Q33,Q,Q,PC,IN,Q,IN,O,IN,OT,Y,N
61529,61709222,,10,3,201612.0,249836.0,318715.0,ASSOCIATED OREGON INDUSTRIES RESEARCH AND EDUCATION FOUNDATION,1149 COURT ST NE,SALEM,OR,,B05,541720.0,97301.0,IN,,200608,41047.0,15,7080.0,6442.0,170893.0,16eofinextractez.dat,201512.0,75721.0,12.0,0.4617053747102192,B05,B,B,PC,ED,B,ED,O,ED,ED,Y,N
66175,66542543,VENATOR JOHN & DORIANNE,1,3,201712.0,2762.0,2498.0,JOHN & DORIANNE VENATOR CHARITABLE FOUNDATION TR FOR THE ARTS AND ED,12525 SE KNAPP ST,PORTLAND,OR,,B11,813219.0,97236.0,IN,,200506,41051.0,4,6440.0,6442.0,,,,,12.0,0.18098233991255108,B11,B,B,PF,ED,B,ZA,S,ED,ED,Y,N
73460,113097675,,10,3,201712.0,2006235.0,486918.0,INTERNATIONAL ALUMNI ASSOCIATION OF SHRI MAHAVIRA JAINA VIDYALAVA INC,17323 NW GOLD CANYON LN,BEAVERTON,OR,,B84,813410.0,27529.0,IN,,199206,37183.0,15,,6640.0,1355030.0,16eofinextract990.dat,201512.0,283815.0,12.0,0.6045989727302673,B84,B,B,PC,ED,B,ED,O,ED,ED,Y,N
73857,113136497,,1,3,201712.0,1067846.0,28968.0,WALDORF FAMILY FOUNDATION INC,6220 NW SKYLINE BLVD,PORTLAND,OR,,T20,813211.0,97229.0,IN,,199402,41067.0,4,6440.0,6442.0,,,,,12.0,0.23622622413130376,T20,T,T,PF,PU,T,ZC,S,PU,OT,Y,N
79838,113663044,,10,3,201708.0,208660.0,1267973.0,ART 4 LIFE,3405 SW NAITO PKWY,PORTLAND,OR,,A25,611610.0,97239.0,IN,,200406,41051.0,16,6440.0,6442.0,101993.0,16eofinextract990.dat,201608.0,989705.0,8.0,0.6340777469652881,A25,A,A,PC,AR,A,AR,O,AR,AR,Y,N
80310,113698646,,10,3,201712.0,23121.0,170532.0,PORTLAND BOYCHOIR,PO BOX 6844,PORTLAND,OR,,A6B,711130.0,97228.0,IN,,200309,41051.0,16,6440.0,6442.0,29472.0,16eofinextractez.dat,201512.0,123862.0,12.0,0.23886371796556585,A6B,A,A,PC,AR,A,AR,O,AR,AR,Y,N
81132,113764984,,10,3,201706.0,994266.0,1928873.0,ST STEPHENS ACADEMY,12555 SW 22ND ST,BEAVERTON,OR,,B20,611110.0,97008.0,IN,,200711,41067.0,11,6440.0,6442.0,860198.0,16eofinextract990.dat,201506.0,1184015.0,6.0,0.3664440062567476,B20,B,B,PC,ED,B,ED,O,ED,ED,Y,N
81141,113765572,,10,6,201709.0,3064768.0,274538.0,SHOE & ACCESSORY TRAVELERS ASSOCIATION,4931 SW 76TH AVENUE NO 344,PORTLAND,OR,,Q99,813311.0,97034.0,IN,,200706,41005.0,0,6440.0,6442.0,2726337.0,16eofinextract990.dat,201609.0,162129.0,9.0,0.6462341478955674,Q99,Q,Q,O,IN,Q,IN,O,IN,OT,Y,N
81905,113823736,,10,3,201712.0,137227.0,385981.0,ROGUE RIVER WATERSHED COUNCIL,89 ALDER ST,CENTRAL POINT,OR,,C32,813312.0,97502.0,IN,,200808,41029.0,15,,4890.0,130468.0,16eofinextract990.dat,201506.0,217562.0,12.0,0.8570944809327248,C32,C,C,PC,EN,C,EN,O,EN,OT,Y,N
83904,131134622,,10,3,201803.0,98838.0,346894.0,PORTLAND REVELS C/O DICK LEWIS,1515 SW MORRISON ST,PORTLAND,OR,,A65,711110.0,97205.0,IN,,199404,41051.0,15,6440.0,6442.0,118346.0,16eofinextract990.dat,201603.0,254867.0,3.0,0.7287189820340292,A65,A,A,PC,AR,A,AR,O,AR,AR,Y,N
87799,133056110,,10,6,201712.0,220130.0,136024.0,MAYFLOWER GROUP,PO BOX 942,MCMINNVILLE,OR,,S40,813910.0,97128.0,IN,,201605,41071.0,0,6440.0,6442.0,158360.0,16eofinextractez.dat,201312.0,124060.0,12.0,0.6001506861524475,S40,S,S,O,PU,S,PB,O,PU,OT,Y,N
87845,133060669,,10,3,201712.0,2535.0,160597.0,FRIENDS OF THE TONY PATINO FELLOWSHIP INC,625 SW BROADWAY 3RD FLR,PORTLAND,OR,,B99,611000.0,97205.0,IN,,198103,41051.0,15,6440.0,6442.0,66082.0,16eofinextract990.dat,201512.0,175000.0,12.0,0.4250245422716729,B99,B,B,PC,ED,B,ED,O,ED,ED,Y,N
95712,133929315,,10,6,201712.0,197554.0,345486.0,21ST CENTURY CARDIAC SURGICAL SOCIETY INC,PO BOX 55454,PORTLAND,OR,,G9B,813212.0,97238.0,IN,,199902,41051.0,0,6440.0,6442.0,168537.0,16eofinextract990.dat,201512.0,231209.0,12.0,0.05020818187364395,G9B,G,G,O,HE,G,HE,O,HE,HE,Y,N
99359,134215851,PAC,20,3,201806.0,20315.0,30185.0,SHERWOOD MIDDLE SCHOOL PARENT ADVISORY COUNCIL,21970 SW SHERWOOD BLVD,SHERWOOD,OR,,W0120,813319.0,97140.0,IN,,200312,41067.0,17,6440.0,6442.0,33995.0,core2014pc,201506.0,15344.0,6.0,0.1946749571328359,W012,W,W,PC,PU,W,PB,S,PU,OT,Y,N
100273,134283533,PET UTOPIA,10,3,201712.0,1761048.0,119002.0,CAT UTOPIA,101 NE 45TH ST,PENDLETON,OR,,D20,813312.0,97801.0,IN,,200704,41059.0,15,,,128512.0,16eofinextractez.dat,201512.0,96871.0,12.0,0.8247873684514538,D20,D,D,PC,EN,D,EN,O,EN,OT,Y,N
101162,134358819,IAMI,10,3,201712.0,104162.0,85013.0,INTERNATIONAL ASSOCIATION OF MARINE INVESTIGATORS,711 MEDFORD CENTER 419,MEDFORD,OR,,I03,813920.0,97504.0,IN,,200902,41029.0,16,,4890.0,82610.0,16eofinextractez.dat,201512.0,97090.0,12.0,0.4867302762383106,I03,I,I,PC,HU,I,HS,O,HU,HU,Y,N
102094,136020675,,1,3,201612.0,121202.0,17171.0,SARA ROBY FOUNDATION,18138 SW SHADY MEADOW CT,BEAVERTON,OR,,T20,813211.0,10463.0,IN,,195710,36005.0,4,5600.0,5602.0,,,,,12.0,0.6703882693940166,T20,T,T,PF,PU,T,ZC,S,PU,OT,Y,N
104955,136271781,,20,3,201805.0,15039.0,16154.0,JEAN HOUSTON FOUNDATION,PO BOX 3330,ASHLAND,OR,,T20,813211.0,97520.0,IN,,196712,41029.0,3,,4890.0,,,,,5.0,0.5734424731770112,T20,T,T,PF,PU,T,ZC,S,PU,OT,Y,N
105594,137044726,GARCIA SUZANNE H ET AL TTEES,1,3,201712.0,1961004.0,641743.0,AOH FOUNDATION TR UA 122094,PO BOX 25686,PORTLAND,OR,,T22,813211.0,97298.0,IN,,199506,41067.0,4,6440.0,6442.0,,,,,12.0,0.5253835805614904,T22,T,T,PF,PU,T,ZC,S,PU,OT,Y,N
110725,141846714,,10,3,201708.0,1245105.0,856932.0,BEND SCIENCE STATION,1027 NW TRENTON AVE,BEND,OR,,V30,541720.0,97701.0,IN,,200404,41017.0,16,,,229947.0,16eofinextract990.dat,201508.0,303371.0,8.0,0.3794730583602959,V30,V,V,PC,PU,V,PB,O,PU,OT,Y,N
110946,141858512,,10,3,201712.0,21.0,185893.0,INTEGRITY PLUS,6320 NE HALSEY ST,PORTLAND,OR,,P51,624190.0,97213.0,IN,,200303,41051.0,16,6440.0,6442.0,19930.0,core2014pc,201412.0,225409.0,12.0,0.007755472824684363,P51,P,P,PC,HU,P,HS,O,HU,HU,Y,N
111139,141872327,,10,3,201706.0,637271.0,2049644.0,FAMILY TREE RELIEF NURSERY,PO BOX 844,ALBANY,OR,,I72,813319.0,97321.0,IN,,200404,41043.0,15,,,489660.0,16eofinextract990.dat,201506.0,1390169.0,6.0,0.3481003229287729,I72,I,I,PC,HU,I,HS,O,HU,HU,Y,N
111212,141878007,,10,2,201712.0,390284.0,39193.0,TEAMSTERS SALEM BUILDING CORPORATION,2686 PORTLAND RD NE,SALEM,OR,,J40,813930.0,97301.0,IN,,200312,41047.0,0,7080.0,6442.0,375660.0,16eofinextractez.dat,201512.0,39193.0,12.0,0.8600822655397554,J40,J,J,O,HU,J,HS,O,HU,HU,Y,N
111609,141907756,,20,3,201712.0,90480.0,30845.0,ROGUE RIVER GREENWAY FOUNDATION,PO BOX 1439,ROGUE RIVER,OR,,C50,813312.0,97537.0,IN,,200410,41029.0,15,,4890.0,83835.0,16eofinextractez.dat,201512.0,17769.0,12.0,0.055080563775425695,C50,C,C,PC,EN,C,EN,O,EN,OT,Y,N
112058,141941732,SISTERS OUTDOOR QUILT SHOW,10,3,201709.0,39807.0,226802.0,SSJ INC,220 S ASH ST STE 4,SISTERS,OR,,A99,710000.0,97759.0,IN,,200612,41017.0,15,,,80737.0,core2014pc,201409.0,239441.0,9.0,0.2476329770518062,A99,A,A,PC,AR,A,AR,O,AR,AR,Y,N
119757,161332235,,10,3,201712.0,274394.0,126010.0,ASSOCIATION FOR UNCERTAINTY IN ARTIFICIAL INTELLIGENCE INC,PO BOX 866,CORVALLIS,OR,,U41,541710.0,97339.0,IN,,199201,41003.0,16,,,228952.0,16eofinextractez.dat,201512.0,98113.0,12.0,0.032281246791587725,U41,U,U,PC,PU,U,PB,O,PU,OT,Y,N
124380,161633303,,10,3,201712.0,657148.0,180379.0,WARM SPRINGS COMMUNITY ACTION TEAM,1136 PAIUTE,WARM SPRINGS,OR,,S20,813410.0,97761.0,IN,,200808,41031.0,15,,,992374.0,16eofinextract990.dat,201512.0,452114.0,12.0,0.8306269731447884,S20,S,S,PC,PU,S,PB,O,PU,OT,Y,N
124875,161668474,,10,3,201712.0,27414.0,95175.0,FRIENDS OF THE JOSEPH BRANCH,PO BOX 422,ENTERPRISE,OR,A,B80,611710.0,97828.0,IN,,200306,41063.0,16,,,19237.0,16eofinextractez.dat,201512.0,77756.0,12.0,0.2740849868508701,B80,B,B,PC,ED,B,ED,O,ED,ED,Y,N
125614,161723839,,20,5,201803.0,169989.0,9306.0,OREGON COURT SECURITY OFFICERS,50700 BANKSTON RD,SCAPPOOSE,OR,,I60,541199.0,97056.0,IN,,200509,41009.0,0,6440.0,6442.0,178764.0,16eofinextractez.dat,201603.0,6934.0,3.0,0.6967602517100657,I60,I,I,O,HU,I,HS,O,HU,HU,Y,N
126258,161774114,,10,3,201712.0,62569.0,195417.0,CRACKED POTS INC,1 N KILLINGSWORTH ST,PORTLAND,OR,,A40,710000.0,97217.0,IN,,200706,41051.0,16,6440.0,6442.0,58571.0,16eofinextract990.dat,201512.0,194400.0,12.0,0.14949111798050285,A40,A,A,PC,AR,A,AR,O,AR,AR,Y,N
128958,200003876,,10,3,201712.0,311314.0,417573.0,OREGON FRIENDS OF SHELTER ANIMALS,7120 SW PALMER WAY,BEAVERTON,OR,,D1120,813219.0,97078.0,IN,,200305,41067.0,15,6440.0,6442.0,319356.0,16eofinextract990.dat,201512.0,459129.0,12.0,0.1286312604658324,D112,D,D,PC,EN,D,ZA,S,EN,OT,Y,N
129011,200009820,,10,3,201703.0,54862.0,57455.0,GREATER PORTLAND TAMIL MANDRAM,PO BOX 6655,BEAVERTON,OR,,A23,710000.0,97007.0,IN,,200412,41067.0,16,6440.0,6442.0,,,,,3.0,0.7113791921065512,A23,A,A,PC,AR,A,AR,O,AR,AR,Y,N
129204,200028509,,20,3,201708.0,21778.0,15909.0,MCKINLEY PARENT TEACHER TR,466 MCGILCHRIST ST SE,SALEM,OR,,B94,813410.0,97302.0,IN,,200406,41047.0,17,7080.0,6442.0,31701.0,16eofinextractez.dat,201508.0,17464.0,8.0,0.8320510101940926,B94,B,B,PC,ED,B,ED,S,ED,ED,Y,N
129304,200038065,,10,3,201712.0,205780.0,474679.0,LGBTQ COMMUNITY CENTER FUND,4115 N MISSISSIPPI AVE,PORTLAND,OR,,T31,813211.0,97217.0,IN,,200308,41051.0,15,6440.0,6442.0,159338.0,16eofinextract990.dat,201512.0,298054.0,12.0,0.22848523157144215,T31,T,T,PC,PU,T,ZD,S,PU,OT,Y,N
129386,200047050,,10,3,201712.0,446073.0,117020.0,PAYE INC,316 SW WASHINGTON AVE,CORVALLIS,OR,,P99,624000.0,97333.0,IN,,200312,41003.0,15,,,647648.0,16eofinextract990.dat,201512.0,122306.0,12.0,0.540403326480412,P99,P,P,PC,HU,P,HS,O,HU,HU,Y,N
129635,200070040,,10,3,201712.0,1252415.0,114042.0,BRIDGE HOUSING CORPORATION,9500 SW BARBUR BLVD STE 115,PORTLAND,OR,,L41,624221.0,97008.0,IN,,200307,41067.0,16,6440.0,6442.0,1324913.0,16eofinextract990.dat,201512.0,95467.0,12.0,0.3460110578256995,L41,L,L,PC,HU,L,HS,O,HU,HU,Y,N
