,org_id,or_org,related_id,related_name
113,930429015,0,952294234,San Joaquin Community Hospital
114,930429015,0,956064971,Simi Valley Hospital & Hlth Care Svcs
115,930429015,0,941415069,Sonora Community Hospital
116,930429015,1,930622075,Northwest Medical Fnd of Tillamook
117,930429015,0,941639901,Ukiah Adventist Hospital
118,930429015,0,910617726,Walla Walla General Hospital
119,930429015,0,952282647,White Memorial Medical Center
120,930429015,0,453220509,Adventist Health Reedley Hospital
121,930429015,0,680357690,Adventist Health Physicians Network
122,930429015,0,953867863,Western Health Resources
123,930429015,0,941044474,Lodi Memorial Hospital Association Inc
124,930429015,0,812240617,Adventist Hlth Medical Ctr Tehachapi
125,936021475,1,930196193,JOINT COUNCIL OF TEAMSTERS NO 37
126,936021475,1,930236781,INT'L BROTHERHOOD OF TEAMSTERS UNION LOCAL NO 962
127,936021475,0,820171930,GENERAL TEAMSTERS LOCAL 483
128,936021475,1,930196206,INTL BROTHERHOOD OF TEAMSTERS LOCAL 324
129,936021475,1,930151383,DAIRY BAKERY & FOOD PROCESSORS IND TECH & AUTO LOCAL NO 305
130,936021475,1,930179776,INTL BROTHERHOOD OF TEAMSTERS LOCAL 223
131,936021475,1,930196219,GENERAL TEAMSTERS AUTO TRUCK DRIVERS & HELPERS LOCAL NO 162
132,936021475,1,930438697,LINE DRIVERS LOCAL PICKUP & DELIVERY LOCAL UNION NO 81
133,936021475,0,910436963,CHAUFFEURS TEAMSTERS & HELPERS LOCAL 58
134,911148123,0,931315010,Mercy Enterprise Corporation
135,911148123,0,271113758,Mercy Corps Condominiums Unit Owners Association
136,911148123,0,911352257,Mercy Corps Foundation
141,911148123,0,472790772,Plaza 122 Community Investment LLC
143,237426300,1,930386823,LEGACY EMANUEL HOSPITAL & HEALTH CENTER
144,237426300,1,930386793,LEGACY GOOD SAMARITAN HOSPITAL & MEDICAL
145,237426300,1,930618975,LEGACY MERIDIAN PARK HOSPITAL
146,237426300,1,930591528,LEGACY MOUNT HOOD MEDICAL CENTER
147,237426300,0,331065485,LEGACY SALMON CREEK HOSPITAL
148,237426300,1,930848530,LEGACY VISITING NURSE ASSOCIATION
149,237426300,1,936095667,EMANUEL MEDICAL CENTER FOUNDATION
150,237426300,1,931314469,RANDALL CHILDRENS HOSPITAL FOUNDATION
151,237426300,1,237017276,GOOD SAMARITAN FOUNDATION
152,237426300,1,930773410,MERIDIAN PARK MEDICAL FOUNDATION
153,237426300,1,930794951,MT HOOD MEDICAL CENTER FOUNDATION
154,237426300,1,830433165,SALMON CREEK HOSPITAL FOUNDATION
155,237426300,1,931121816,LEGACY ADVENTIST VENTURE
156,237426300,1,465562403,LEGACY HEALTH FOUNDATION
157,237426300,1,930281321,SILVERTON HEALTH
158,237426300,1,930913392,SILVERTON HEALTH FOUNDATION
160,930386908,0,200779531,Odyssey Property Holdings Inc
176,930401259,0,841172799,Northwest Academic Computing Consortium Inc
177,930401259,0,203770321,Friends of Saturday Academy
178,930618975,1,237426300,LEGACY HEALTH
179,930618975,1,930386823,LEGACY EMANUEL HOSPITAL & HEALTH CENTER
180,930618975,1,930386793,LEGACY GOOD SAMARITAN HOSPITAL & MEDICAL
181,930618975,1,930591528,LEGACY MOUNT HOOD MEDICAL CENTER
182,930618975,0,331065485,LEGACY SALMON CREEK HOSPITAL
183,930618975,1,930848530,LEGACY VISITING NURSE ASSOCIATION
184,930618975,1,936095667,EMANUEL MEDICAL CENTER FOUNDATION
185,930618975,1,931314469,RANDALL CHILDRENS HOSPITAL FOUNDATION
186,930618975,1,237017276,GOOD SAMARITAN FOUNDATION
187,930618975,1,930773410,MERIDIAN PARK MEDICAL FOUNDATION
188,930618975,1,930794951,MT HOOD MEDICAL CENTER FOUNDATION
189,930618975,1,830433165,SALMON CREEK HOSPITAL FOUNDATION
190,930618975,1,931121816,LEGACY ADVENTIST VENTURE
191,930618975,1,465562403,LEGACY HEALTH FOUNDATION
192,930618975,1,930281321,SILVERTON HEALTH
193,930618975,1,930913392,SILVERTON HEALTH FOUNDATION
194,936015767,1,461574842,U OF O FOUNDATION SUPPORTING ORGANIZATION
195,463264330,1,930933975,CareOregon Inc
196,463264330,0,821663503,Housecall Providers PC
197,931192140,0,930645546,POWER RESOURCES COOPERATIVE
198,930386868,0,470765154,ALEGENT CREIGHTON CLINIC
199,930386868,0,470757164,ALEGENT CREIGHTON HEALTH
200,930386868,0,470648586,ALEGENT CREIGHTON HEALTH FOUNDATION
201,930386868,0,470484764,ALEGENT HEALTH - BERGAN MERCY HEALTH SYSTEM
202,930386868,0,420776568,ALEGENT HEALTH - COMMUNITY MEMORIAL HOSPITAL OF MISSOURI VALLEY IA
203,930386868,0,470376615,ALEGENT HEALTH - IMMANUEL MEDICAL CENTER
204,930386868,0,470399853,ALEGENT HEALTH - MEMORIAL HOSPITAL SCHUYLER
205,930386868,0,420782518,ALEGENT HEALTH - MERCY HOSPITAL CORNING IOWA
206,930386868,0,411351177,ALVERNA APARTMENTS
207,930386868,0,411850500,APPLETREE COURT
208,930386868,0,274499340,BAYLOR ST LUKE'S HEALTH VENTURES
209,930386868,0,760458535,BAYLOR ST LUKE'S MEDICAL GROUP
210,930386868,0,274005511,BELLEVILLE ST JOSEPH HEALTH CENTER
211,930386868,0,420725196,BISHOP DRUMM RETIREMENT CENTER
212,930386868,0,232187242,BORNEMANN HEALTHCARE CORPORATION
213,930386868,0,760080110,BRAZOSPORT HEALTH FOUNDATION INC
214,930386868,0,800240261,BRAZOSPORT REGIONAL PHYSICIAN SERVICES
215,930386868,0,742759890,BURLESON ST JOSEPH HEALTH CENTER
216,930386868,0,742913931,BURLESON ST JOSEPH MANOR
217,930386868,0,450227311,CARRINGTON HEALTH CENTER
218,930386868,0,840405257,CATHOLIC HEALTH INITIATIVES - COLORADO
219,930386868,0,420680448,CATHOLIC HEALTH INITIATIVES - IOWA CORP
220,930386868,0,840902211,CATHOLIC HEALTH INITIATIVES COLORADO FOUNDATION
221,930386868,0,270930004,CATHOLIC HEALTH INITIATIVES NATIONAL FOUNDATION
222,930386868,0,460992796,CATHOLIC HEALTH INITIATIVES VIRTUAL HEALTH SERVICES
223,930386868,1,263946191,CENTENNIAL MEDICAL GROUP INC
224,930386868,0,480543724,CENTRAL KANSAS MEDICAL CENTER
225,930386868,0,271966847,CHI HEALTH CONNECT AT HOME - FARGO
226,930386868,0,271050565,CHI INSTITUTE FOR RESEARCH AND INNOVATION
227,930386868,0,202741651,CHI KENTUCKY INC
228,930386868,0,341892096,CHI LIVING COMMUNITIES
229,930386868,0,822748395,CHI Memorial Hospital - Georgia
230,930386868,0,451261716,CHI NATIONAL HOME CARE
231,930386868,0,452532084,CHI NATIONAL SERVICES
232,930386868,0,363233121,CHI NEBRASKA
233,930386868,0,232342997,CHI ST JOSEPH CHILDREN'S HEALTH
234,930386868,0,710897107,CHI ST JOSEPH'S CHILDREN
235,930386868,0,741161938,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE MEDICAL CENTER
236,930386868,0,710236913,CHI ST VINCENT HOSPITAL HOT SPRINGS
237,930386868,0,261125064,CHI ST VINCENT HOT SPRINGS
238,930386868,0,261125131,CHI ST VINCENT MEDICAL GROUP HOT SPRINGS
239,930386868,0,470617373,COMMONSPIRIT HEALTH
240,930386868,0,237419853,COMMUNITY LIMITED CARE DIALYSIS CENTER
241,930386868,0,421294399,COMMUNITY MEMORIAL HOSPITAL MEDICAL SERVICE FOUNDATION
242,930386868,0,611400619,CONTINUING CARE HOSPITAL
243,930386868,0,454736213,East Texas Clinical Services
244,930386868,0,910715805,ENUMCLAW REGIONAL HOSPITAL ASSOCIATION
245,930386868,0,611345363,FLAGET HEALTHCARE INC
246,930386868,0,562351341,FLAGET MEMORIAL HOSPITAL FOUNDATION INC
247,930386868,0,341931806,FRANCISCAN CARE CENTER
248,930386868,0,911145592,FRANCISCAN FOUNDATION
249,930386868,0,910564491,FRANCISCAN HEALTH SYSTEM
250,930386868,0,431882377,FRANCISCAN HEALTH VENTURES FKA SJMGROUP
251,930386868,0,911939739,FRANCISCAN MEDICAL GROUP
252,930386868,0,391093829,FRANCISCAN VILLA OF SOUTH MILWAUKEE INC
253,930386868,0,450227752,GARRISON MEMORIAL HOSPITAL
254,930386868,0,201536108,GLOBAL HEALTH INITIATIVES
255,930386868,0,311778403,GOOD SAMARITAN COLLEGE OF NURSING & HEALTH SCIENCE
256,930386868,0,311206047,GOOD SAMARITAN FOUNDATION OF CINCINNATI INC
257,930386868,0,310536981,GOOD SAMARITAN HOSPITAL
258,930386868,0,470379755,GOOD SAMARITAN HOSPITAL
259,930386868,0,470659443,GOOD SAMARITAN HOSPITAL FOUNDATION
260,930386868,0,237296923,GOOD SAMARITAN HOSPITAL FOUNDATION - DAYTON
261,930386868,0,910565546,HARRISON MEDICAL CENTER
262,930386868,0,911197626,HARRISON MEDICAL CENTER FOUNDATION
263,930386868,0,760761782,HEALTHCARE AND WELLNESS FOUNDATION
264,930386868,0,910712166,HIGHLINE MEDICAL CENTER
265,930386868,0,421323808,HOUSE OF MERCY
266,930386868,0,611029768,JEWISH HOSPITAL AND ST MARY'S HEALTHCARE INC
267,930386868,0,611352729,KENTUCKYONE HEALTH MEDICAL GROUP INC
268,930386868,0,611029769,KENTUCKYONE HEALTH INC
269,930386868,0,410758434,LAKEWOOD HEALTH CENTER
270,930386868,0,411893795,LAKEWOOD REGIONAL HEALTHCARE FOUNDATION
271,930386868,1,930821381,LINUS OAKES INC
272,930386868,0,820558836,LISBON AREA HEALTH SERVICES
273,930386868,0,820563768,LUFKIN VISION ACQUISITIONS
274,930386868,0,742761145,MADISON ST JOSEPH HEALTH CENTER
275,930386868,0,610654635,MADONNA MANOR INC
276,930386868,0,621839548,MEMORIAL HEALTH CARE SYSTEM FOUNDATION INC
277,930386868,0,620532345,MEMORIAL HEALTH CARE SYSTEM INC
278,930386868,0,30417049,MEMORIAL HEALTH PARTNERS FOUNDATION INC
279,930386868,0,750755367,MEMORIAL HEALTH SYSTEM OF EAST TEXAS
280,930386868,0,760436439,MEMORIAL MEDICAL CENTER - LIVINGSTON
281,930386868,0,752663904,MEMORIAL MEDICAL CENTER - SAN AUGUSTINE
282,930386868,0,752721155,MEMORIAL MULTISPECIALTY ASSOCIATES
283,930386868,0,752492741,MEMORIAL SPECIALTY HOSPITAL
284,930386868,0,426076069,MERCY AUXILIARY OF CENTRAL IOWA
285,930386868,0,421193699,MERCY CLINICS INC
286,930386868,0,421511682,MERCY COLLEGE OF HEALTH SCIENCES
287,930386868,0,237358794,MERCY FOUNDATION OF DES MOINES IA
288,930386868,1,936088946,MERCY FOUNDATION INC
289,930386868,0,421461064,MERCY HEALTH CARE FOUNDATION
290,930386868,0,450435338,MERCY HEALTHCARE FOUNDATION
291,930386868,0,421178204,MERCY HOSPITAL FOUNDATION COUNCIL BLUFFS
292,930386868,0,450227012,MERCY HOSPITAL OF DEVILS LAKE
293,930386868,0,352367360,MERCY HOSPITAL OF DEVILS LAKE FOUNDATION
294,930386868,0,450226553,MERCY HOSPITAL OF VALLEY CITY
295,930386868,0,450231183,MERCY MEDICAL CENTER
296,930386868,0,420680308,MERCY MEDICAL CENTER - CENTERVILLE
297,930386868,0,421470935,MERCY MEDICAL CENTER - NEWTON DBA SKIFF MEDICAL CENTER
298,930386868,1,930386868,MERCY MEDICAL CENTER INC
299,930386868,0,450381803,MERCY MEDICAL FOUNDATION
300,930386868,0,392031968,NEBRASKA HEART HOSPITAL
301,930386868,0,450439894,North Central Health Care Alliance dba PrimeCare Health Group
302,930386868,0,450231675,OAKES COMMUNITY HOSPITAL
303,930386868,0,710966606,OAKES COMMUNITY HOSPITAL FOUNDATION
304,930386868,0,752493116,PINEYWOODS MEDICAL DEVELOPMENT CORP
305,930386868,0,341658625,PROVIDENCE CARE CENTER
306,930386868,0,341826099,PROVIDENCE CARE CENTERS
307,930386868,0,341896807,PROVIDENCE RESIDENTIAL COMMUNITY CORPORATION
308,930386868,0,841234295,PUEBLO STEPUP
309,930386868,0,911170040,REGIONAL HOSPITAL FOR RESPIRATORY AND COMPLEX CARE
310,930386868,0,841183335,SET OF COLORADO SPRINGS INC
311,930386868,0,222876836,SAINT CLARE'S COMMUNITY CARE INC
312,930386868,0,222502997,SAINT CLARE'S FOUNDATION INC
313,930386868,0,223639733,SAINT CLARE'S HEALTH SERVICES INC
314,930386868,0,223319886,SAINT CLARE'S HOSPITAL INC
315,930386868,0,470625523,SAINT ELIZABETH FOUNDATION
316,930386868,0,363233120,SAINT ELIZABETH HEALTH SERVICES
317,930386868,0,470379836,SAINT ELIZABETH REGIONAL MEDICAL CENTER
318,930386868,0,470376601,SAINT FRANCIS MEDICAL CENTER
319,930386868,0,470630267,SAINT FRANCIS MEDICAL CENTER FOUNDATION
320,930386868,0,260152877,SAINT JOSEPH BEREA HOSPITAL FOUNDATION INC
321,930386868,0,611334601,SAINT JOSEPH HEALTH SYSTEM INC
322,930386868,0,611159649,SAINT JOSEPH HOSPITAL FOUNDATION INC
323,930386868,0,260438748,SAINT JOSEPH LONDON FOUNDATION INC
324,930386868,0,272884584,SAINT JOSEPH MOUNT STERLING FOUNDATION INC
325,930386868,0,363418207,SAINT JOSEPH'S HOSPITAL FOUNDATION
326,930386868,0,20633634,SAMARITAN BEHAVIORAL HEALTH INC
327,930386868,0,311107411,SAMARITAN HEALTH PARTNERS
328,930386868,0,363630014,SCHUYLER MEMORIAL HOSPITAL FOUNDATION INC
329,930386868,0,440545809,SJRMC JOPLIN MISSOURI
330,930386868,0,450226711,ST ALEXIUS MEDICAL CENTER
331,930386868,1,930391614,ST ANTHONY HOSPITAL
332,930386868,1,930992727,ST ANTHONY HOSPITAL FOUNDATION
333,930386868,0,710245507,ST ANTHONY'S HOSPITAL ASSOCIATION
334,930386868,0,480543721,ST CATHERINE HOSPITAL
335,930386868,0,200598702,ST CATHERINE HOSPITAL DEVELOPMENT FOUNDATION
336,930386868,0,270163752,ST CLARE COMMONS
337,930386868,0,930433692,ST DOMINIC OF ONTARIO OREGON
338,930386868,0,410729978,ST FRANCIS HOME
339,930386868,0,222536017,ST FRANCIS LIFE CARE CORPORATION
340,930386868,0,410695598,ST FRANCIS MEDICAL CENTER
341,930386868,0,742351158,ST JOSEPH FOUNDATION OF BRYAN TEXAS
342,930386868,0,742847594,ST JOSEPH MANOR
343,930386868,0,520591461,ST JOSEPH MEDICAL CENTER INC
344,930386868,0,203159302,ST JOSEPH PHYSICIAN ASSOCIATES
345,930386868,0,521311775,ST JOSEPH PHYSICIAN ENTERPRISE INC
346,930386868,0,741282696,ST JOSEPH REGIONAL HEALTH CENTER
347,930386868,0,454088170,ST JOSEPH REGIONAL HEALTH PARTNERS
348,930386868,0,463265423,ST JOSEPH REGIONAL HEALTH PARTNERS ACO
349,930386868,0,742455161,ST JOSEPH SERVICES CORPORATION
350,930386868,0,410695603,ST JOSEPH'S AREA HEALTH SERVICES
351,930386868,0,450226429,ST JOSEPH'S HOSPITAL AND HEALTH CENTER
352,930386868,0,341940863,ST LEONARD
353,930386868,0,273733278,ST LUKE'S COMMUNITY DEVELOPMENT CORPORATION - PMC
354,930386868,0,261947374,ST LUKE'S COMMUNITY DEVELOPMENT CORPORATION - SUGAR LAND
355,930386868,0,260335902,ST LUKE'S COMMUNITY DEVELOPMENT CORPORATION - THE WOODLANDS
356,930386868,0,760536234,ST LUKE'S COMMUNITY HEALTH SERVICES
357,930386868,0,453811485,ST LUKE'S FOUNDATION
358,930386868,0,760536232,ST LUKE'S HEALTH SYSTEM CORPORATION
359,930386868,0,263734606,ST LUKE'S HOSPITAL AT THE VINTAGE
360,930386868,0,760531713,ST LUKE'S MEDICAL TOWER CORPORATION
361,930386868,0,760531716,ST LUKE'S PROPERTIES CORPORATION
362,930386868,0,454120549,ST LUKE'S SUGAR LAND PROPERTIES CORPORATION
363,930386868,0,470443636,ST MARY'S COMMUNITY HOSPITAL
364,930386868,0,470707604,ST MARY'S HOSPITAL FOUNDATION
365,930386868,0,510169537,ST VINCENT FOUNDATION
366,930386868,0,710236917,ST VINCENT INFIRMARY MEDICAL CENTER
367,930386868,0,710830696,ST VINCENT MEDICAL GROUP
368,930386868,0,341412964,SYLVANIA FRANCISCAN HEALTH
369,930386868,0,455357161,SYLVANIA FRANCISCAN HEALTH FOUNDATION
370,930386868,0,341826097,THE COMMONS OF PROVIDENCE
371,930386868,0,741385192,THE COMMUNITY HOSPITAL OF BRAZOSPORT
372,930386868,0,310537486,THE GOOD SAMARITAN HOSPITAL OF CINCINNATI OH
373,930386868,0,300502367,THE HEART INSTITUTE OF DAYTON
374,930386868,0,470780857,THE PHYSICIAN NETWORK
375,930386868,0,840927232,TOTAL HEALTHCARE
376,930386868,0,311329423,TRINITY HEALTH FOUNDATION
377,930386868,0,341818681,TRINITY HEALTH SYSTEM
378,930386868,0,300752920,TRINITY HEALTH SYSTEM GROUP
379,930386868,0,275401105,TRINITY HOSPITAL TWIN CITY
380,930386868,0,341522484,TRI-STATE HEALTH SERVICES INC
381,930386868,0,410721642,UNITY FAMILY HEALTHCARE
382,930386868,0,450226714,VILLA NAZARETH INC
383,930386868,0,221768334,VISITING NURSE ASSOCIATION OF ST CLARE'S INC
384,930430029,1,930751507,Tuality Healthcare Foundation
385,930430029,1,930840810,Tuality Property Management
386,930110095,1,930391573,GOOD SAMARITAN HOSPITAL CORVALLIS
387,930110095,1,930712890,ALBANY GENERAL HOSPITAL FOUNDATION
388,930110095,1,930900124,FIRSTCARE HEALTH FOUNDATION
389,930110095,0,930932697,FIRSTCARE MEDICAL FOUNDATION
390,930110095,1,237252406,GOOD SAMARITAN HOSPITAL FOUNDATION
391,930110095,1,931124326,INTERCOMMUNITY HEALTH PLANS INC
392,930110095,1,931260080,LEBANON COMMUNITY HOSPITAL FOUNDATION
393,930110095,1,930396847,MID-VALLEY HEALTHCARE INC
394,930110095,1,731668317,PARADIGM INDEMNITY CORPORATION
395,930110095,1,930951989,SAMARITAN HEALTH SERVICES INC
396,930110095,1,931305493,SAMARITAN NORTH LINCOLN HOSPITAL
397,930110095,1,931329784,SAMARITAN PACIFIC HEALTH SERVICES
398,930110095,0,931245534,SAMARITAN SENIOR CARE INC
399,930110095,1,930867677,NORTH LINCOLN HOSPITAL FOUNDATION
400,237083114,0,931176109,OREGON HEALTH & SCIENCE UNIVERSITY
401,237083114,1,930579589,DOERNBECHER CHILDREN'S HOSPITAL FDN
402,237083114,1,814624043,OREGON RURAL HEALTH INITIATIVE
403,936022772,1,930711337,Oregon 4-H Foundation
404,936022772,0,473315262,The Beaver Caucus
405,936022772,1,930470717,Oregon State University Alumni Association
406,930591528,1,237426300,LEGACY HEALTH
407,930591528,1,930386823,LEGACY EMANUEL HOSPITAL & HEALTH CENTER
408,930591528,1,930386793,LEGACY GOOD SAMARITAN HOSPITAL & MEDICAL
409,930591528,1,930618975,LEGACY MERIDIAN PARK HOSPITAL
410,930591528,0,331065485,LEGACY SALMON CREEK HOSPITAL
411,930591528,1,930848530,LEGACY VISITING NURSE ASSOCIATION
412,930591528,1,930794951,MT HOOD MEDICAL CENTER FOUNDATION
413,930591528,1,936095667,EMANUEL MEDICAL CENTER FOUNDATION
414,930591528,1,931314469,RANDALL CHILDRENS HOSPITAL FOUNDATION
415,930591528,1,237017276,GOOD SAMARITAN FOUNDATION
416,930591528,1,930773410,MERIDIAN PARK MEDICAL FOUNDATION
417,930591528,1,830433165,SALMON CREEK HOSPITAL FOUNDATION
418,930591528,1,931121816,LEGACY ADVENTIST VENTURE
419,930591528,1,465562403,LEGACY HEALTH FOUNDATION
420,930591528,1,930281321,SILVERTON HEALTH
421,930591528,1,930913392,SILVERTON HEALTH FOUNDATION
422,930583856,1,931091701,COLUMBIA MEMORIAL HOSPITAL FOUNDATION
423,930583856,1,931306211,COLUMBIA MEMORIAL HOSPITAL AUXILIARY
424,936021111,0,516077555,OW CARP PENSION
425,936021111,1,936049213,OW CARP VACATION
426,936021111,0,931244138,OW CARP 401(K)
427,930396847,1,930110095,ALBANY GENERAL HOSPITAL
428,930396847,1,930712890,ALBANY GENERAL HOSPITAL FOUNDATION
429,930396847,1,930900124,FIRSTCARE HEALTH FOUNDATION
430,930396847,0,930932697,FIRSTCARE MEDICAL FOUNDATION
431,930396847,1,237252406,GOOD SAMARITAN HOSPITAL FOUNDATION
432,930396847,1,931124326,INTERCOMMUNITY HEALTH PLANS INC
