period,ein,object_id,taxpayer_name,name,business_name1,business_name2,title,org_comp,related_comp
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Patrick Courneya,,,"EVP, Chief Medical Officer",0,1417283
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Richard Daniels,,,"EVP, CIO",0,2174175
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,George Disalvo,,,"SVP, CFO - SCAL",0,1304076
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Jeffrey E Epstein,,,Director,0,206871
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Elizabeth Finley,,,"SVP, Area Manager - San Diego",0,806713
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Jerry C Fleming,,,"SVP, Health Reform Implement",0,583277
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Deborah Friberg,,,SVP & Area Mgr -Central Valley,0,687053
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Diane Gage-Lofgren,,,"SVP, Brand Mgmt & Comm",0,162307
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Daniel Garcia,,,"SVP, Chief Compliance Officer",0,1139765
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Edward Glavis,,,SVP & Area Mgr - Roseville,0,154864
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Sandra Golze,,,Assistant Secretary - NCAL,0,738759
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Mitchell Goodstein,,,"SVP, Actuarial, U/W & Pricing",0,156270
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,J Eugene Grisby III PHD,,,Director,0,27039
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,George Halvorson,,,Chairman,0,41378
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Thomas Hanenburg,,,SVP & Area Mgr - GSAA,0,739137
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Corwin Harper,,,SVP & Area Mgr - Napa/Solano,0,692512
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Leslie S Heisz,,,Director,0,215118
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,David Hoffmeister,,,Director,0,225809
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Kimberly Horn,,,Regional President - MAS,0,1905339
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Judith A Johansen JD,,,Director,0,240707
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Kim J Kaiser,,,Director,0,216547
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Marilyn Kawamura,,,Region President - MAS,0,190164
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Kerry Kohnen,,,Region President - Georgia,0,288710
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Kathryn Lancaster,,,EVP & CFO,0,3269827
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Janet Liang,,,Regional President - NCAL,0,1775534
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Donna Lynne,,,"EVP, GP & Region Pres - CO",0,5345394
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Roland Lyon,,,Regional President - Colorado,0,798938
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Philip A Marineau,,,Director,0,229371
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Gerald Mccall,,,SVP Operations,0,1142726
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Andrew Mcculloch,,,Regional President - Northwest,0,1591235
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Colleen Mckeown,,,SVP & Area Mgr - Diablo,0,695516
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Thomas Meier,,,"SVP, Corporate Treasurer",0,1189582
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Julie Miller-Phipps,,,Regional President - SCAL,0,1307872
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Susan Mullaney,,,"VP, COO - NW",0,844917
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Donald Orndoff,,,"SVP, NFS",0,1152155
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Nathaniel Oubre,,,"VP, CA MediCal, CHIP & CHC",0,721300
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Wade Overgaard,,,"SVP, Health Plan Ops - CA",0,2013298
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Edward Pei,,,Director,0,244739
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Margaret E Porfido JD,,,Director,0,247358
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,J Neal Purcell,,,Director,0,46000
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Frank Richardson,,,Assistant Secretary - HI,0,435112
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Christine Robisch,,,"SVP, CAO - NCAL",0,857836
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Rochelle Roth,,,Assistant Secretary,0,392460
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Michael Rowe,,,"SVP, CFO - NCAL",0,1516914
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Kathleen M Scheirman,,,SVP Application Services Group,0,1146783
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Jacqueline Sellers,,,Assistant Secretary,0,353210
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Nirav Shah,,,"SVP, COO Clinical Operations",0,900610
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Richard Shannon MD,,,Director,0,212000
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,James Simpson,,,"SVP, Finance - BU & ROC",0,1033498
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Sandra Small,,,"SVP, Hospital & Area Ops",0,215371
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Arthur Southam,,,"EVP, Health Plan Operations",0,3240051
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Deborah Stokes,,,"SVP,Corporate Controller & CAO",0,507864
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Michael Sutten,,,SVP Info Technology & CTO,0,1093094
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Paul M Swenson,,,SVP & Chief Strategy Officer,0,1278137
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Cynthia A Telles PHD,,,Director,0,223809
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Bernard Tyson,,,Chairman & CEO,0,10039235
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Alfonse Upshaw,,,"SVP,Corporate Controller & CAO",0,724926
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Max Villalobos,,,COO - North County,0,625122
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Cesar Villalpando,,,"SVP, Enterprise Shared SVCS",0,1349152
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Eugene Washington MD,,,Director,0,186626
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Jed Weissberg,,,"SVP, Quality & Care Del Excel",0,154247
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Vita Willett,,,"SVP, Area Manager - Riverside",0,849096
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Nancy Wollen,,,"SVP, Chief Operating Officer",0,1157127
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,John Yamamoto,,,Assistant Secretary,0,839577
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Hong-Sze Yu,,,Assistant Secretary,0,431277
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Carlos Zaragoza,,,Assistant Secretary,0,429022
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Victoria Zatkin,,,"VP, Off of Brd & Corp Gov Svcs",0,218511
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Mark Zemelman,,,"SVP, General Counsel & Secy",0,2000147
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Gregory Adams,,,"EVP, Group President",0,6589138
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Ramon F Baez,,,Director,0,216956
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Mary Barnes,,,Region President - Hawaii,0,1101172
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Anthony Barrueta,,,"SVP, Government Relations",0,1750637
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Raymond Baxter,,,"SVP, CB Research & Hlth Policy",0,1025489
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Kristin Bear,,,Assistant Secretary,0,488285
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Vanessa Benavides,,,"SVP, Chief Comp & Priv Officer",0,1114215
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Regina M Benjamin MD MBA,,,Director,0,195085
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Charles Bevilacqua,,,"SVP, HP Products, Svc & Admin",0,1829668
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Chandrika Bhalla,,,"SVP, CFO - NCAL",0,970796
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Maryann Bodayle,,,Assistant Secretary,0,220553
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Christopher Boyd,,,SVP & Area Mgr - Santa Clara,0,810201
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Lisa L Caplan,,,"SVP, Care Delivery Tech Svcs",0,1050559
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,William Caswell,,,Interim Regional President -HI,0,1655974
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Bechara Choucair,,,"SVP,Community Health & Benefit",0,1144012
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Greg Christian,,,"SVP, Area Manager - Fontana",0,793126
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Judith Coffey,,,SVP & Area Mgr - Marin/Sonoma,0,798476
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Jeffrey Collins,,,SVP & Area Manager - Roseville,0,984329
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Charles Columbus,,,"SVP, Chief HR Officer",0,2193889
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Diane Comer,,,"SVP, Bus Info Officer - HP",0,1146520
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Mark Costa,,,"SVP, Area Mgr - Orange County",0,846426
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Patrick Courneya,,,"EVP, Chief Medical Officer",0,1850640
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Richard Daniels,,,"EVP, CIO",0,1961118
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,George Disalvo,,,"SVP, CFO - SCAL",0,1583277
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Jeffery E Epstein,,,Director,0,209793
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Elizabeth Finley,,,"SVP, Area Manager - San Diego",0,935852
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Jerry Fleming,,,"SVP, Health Reform Implement",0,443036
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Deborah Friberg,,,SVP & Area Mgr -Central Valley,0,446659
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Daniel Garcia,,,"SVP, Chief Compliance Officer",0,593429
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Edward Glavis,,,SVP & Area Mgr - Roseville,0,114090
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Sandra Golze,,,Assistant Secretary - NCAL,0,595026
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Bernice Gould,,,Assistant Secretary,0,331645
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,George Halvorson,,,Chairman,0,54672
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Thomas Hanenburg,,,SVP & Area Mgr - GSAA,0,876854
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Corwin Harper,,,SVP & Area Mgr - Napa/Solano,0,811316
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Leslie S Heisz,,,Director,0,221011
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,David F Hoffmeister,,,Director,0,228956
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Kimberly Horn,,,Regional President - MAS,0,2147340
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Judith A Johansen JD,,,Director,0,245223
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Kim J Kaiser,,,Director,0,229212
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Marilyn Kawamura,,,Region President - MAS,0,209165
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Kathryn Lancaster,,,EVP & CFO,0,3723333
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Wendy L Lee,,,"SVP, Corp Svcs & Digital Tech",0,1099179
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Janet Liang,,,Regional President - NCAL,0,2003128
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,R Roland Lyon,,,Regional President - Colorado,0,1256141
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Gerald Mccall,,,SVP Operations,0,1231262
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Andrew Mcculloch,,,Regional President - Northwest,0,4328698
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Colleen Mckeown,,,SVP & Area Mgr - Diablo,0,1218903
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Thomas Meier,,,"SVP, Corporate Treasurer",0,1316262
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Julie Miller-Phipps,,,Regional President - SCAL,0,1813739
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Susan Mullaney,,,Regional President - WA,0,1700756
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Janet O'Hollaren,,,INTERIM REGIONAL PRESIDENT- NW,0,883660
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Donald Orndoff,,,"SVP, NFS",0,1204592
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Nathaniel Oubre,,,"VP, CA MediCal, CHIP & CHC",0,788859
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Wade Overgaard,,,"SVP, Health Plan Ops - CA",0,1749087
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Edward Y W Pei,,,Director,0,245488
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Margaret E Porfido JD,,,Director,0,273015
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,J Neal Purcell,,,Director,0,48745
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Frank Richardson,,,Assistant Secretary - HI,0,453310
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Christine Robisch,,,"SVP, CHIEF ADMIN. OFFICER",0,1128995
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Rochelle Roth,,,Assistant Secretary,0,436154
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Michael Rowe,,,"SVP, CFO - NCAL",0,1656917
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Kathleen Marie Scheirman,,,"SVP, Application Svcs Group",0,1060834
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Jacqueline Sellers,,,Assistant Secretary,0,458664
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Nirav Shah,,,"SVP, COO Clinical Operations",0,950468
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Richard Shannon MD,,,Director,0,208000
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,James Simpson,,,REGIONAL PRESIDENT - GA,0,1797583
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Arthur Southam,,,"EVP, Health Plan Operations",0,4007202
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Deborah Stokes,,,"SVP,Corporate Controller & CAO",0,165396
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Michael Sutten,,,"SVP, Info Technology & CTO",0,1272891
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Paul Swenson,,,SVP & Chief Strategy Officer,0,1757238
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Cynthia A Telles PHD,,,Director,0,233956
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Bernard Tyson,,,Chairman & CEO,0,16082753
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Alfonse Upshaw,,,"SVP,Corporate Controller & CAO",0,1007260
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Max Villalobos,,,COO - North County,0,759201
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Cesar Villalpando,,,"SVP, Enterprise Shared Svcs",0,1027591
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Eugene Washington MD,,,Director,0,193495
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Vita Willett,,,"SVP, Area Manager - Riverside",0,922024
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Nancy Wollen,,,"SVP, Chief Operating Officer",0,539408
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,John Yamamoto,,,Assistant Secretary,0,895148
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Philip Young,,,Assistant Secretary,0,670855
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Hong-Sze Yu,,,"VP, Brd & Corp Gov & Asst Secy",0,510564
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Carlos Zaragoza,,,Assistant Secretary,0,163976
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Victoria Zatkin,,,"VP, Off of Brd & Corp Gov Svcs",0,105278
201712,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,Mark Zemelman,,,"SVP, General Counsel & Secy",0,2669812
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Gregory Adams,,,"EVP, Group President",0,3145675
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Ramon F Baez,,,Director,0,152591
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Stephen Shawn Barton,,,"Exec Dir, Revenue Cycle - NW",0,424147
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Regina M Benjamin MD MBA,,,Director,0,197178
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Maryann Bodayle,,,Assistant Secretary,0,199780
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Thomas W Chapman EDD,,,Director,0,513713
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Mary L Durham,,,"VP, The Center Health Research",0,663510
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Jeffrey E Epstein,,,Director,0,206871
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Keith Forrester,,,"VP, MSBD - Northwest",0,500599
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Daniel Garcia,,,"SVP, Chief Compliance Officer",0,1139765
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,J Eugene Grisby III PHD,,,Director,0,27039
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,George Halvorson,,,Chairman,0,41378
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Leslie S Heisz,,,Director,0,215118
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,David Hoffmeister,,,Director,0,225809
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Francisco Hurtarte,,,"VP, HR - Northwest",0,526126
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Judith A Johansen JD,,,Director,0,240707
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Kim J Kaiser,,,Director,0,216547
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,David Lake,,,"VP, Strategy & Health Plan Ops",0,473767
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Kathryn Lancaster,,,EVP & CFO,0,3269827
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Donna Lynne,,,"EVP, GP & Region Pres - CO",0,5345394
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Philip A Marineau,,,Director,0,229371
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Andrew Mcculloch,,,Regional President - Northwest,0,1591235
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Thomas Meier,,,"SVP, Corporate Treasurer",0,1189582
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Susan Mullaney,,,"VP, COO - NW",0,844917
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Janet O'Hollaren,,,"VP, COO - NW",0,645738
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Donald Orndoff,,,"SVP, NFS",0,1152155
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Edward Pei,,,Director,0,244739
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Margaret E Porfido JD,,,Director,0,247358
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,J Neal Purcell,,,Director,0,46000
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Karen Schartman,,,VP & CFO,0,839025
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Jacqueline Sellers,,,Assistant Secretary,0,353210
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Richard Shannon MD,,,Director,0,212000
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Arthur Southam,,,"EVP, Health Plan Operations",0,3240051
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Deborah Stokes,,,"SVP,Corporate Controller & CAO",0,507864
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Cynthia A Telles PHD,,,Director,0,223809
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Bernard Tyson,,,Chairman & CEO,0,10039235
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Alfonse Upshaw,,,"SVP,Corporate Controller & CAO",0,724926
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Eugene Washington MD,,,Director,0,186626
201612,930798039,201743139349302804,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,Wendy N Watson,,,"VP, Ambul. Care & Clin. Svcs",0,505343
