,year,ein,object_id,taxpayer_name,form,source,compensation,INCOME_AMT,ASSET_AMT,REVENUE_AMT,TAX_PERIOD_y,NTEE_CD
3280,2018,204151057,201942079349300239,A FAMILY FOR EVERY CHILD,IRS990,part_i,363557.0,830903.0,1145496.0,804472.0,201812.0,P30
6986,2018,463106746,201942079349200609,SOUTHERN OREGON FOUNDATION SUPPORTING A CURE FOR CANCER,IRS990EZ,ez_part_i,,180720.0,18524.0,142106.0,201906.0,H11
5532,2018,931011604,201942069349301169,PREGNANCY ALTERNATIVES CENTER DBA OBRIA MEDICAL CLINICS OREGON,IRS990,part_i,204362.0,310118.0,434539.0,282815.0,201812.0,
8466,2018,936207748,201942049349300934,CENTRAL OREGON COMMUNITY COLLEGE MEMORIAL EDUCATION FUND 301012,IRS990,part_i,0.0,113315.0,703419.0,63048.0,201901.0,
2736,2018,931032986,201942049349300849,ROSEBURG ROTARY FOUNDATION,IRS990,part_i,0.0,1103296.0,279264.0,962407.0,201906.0,B99Z
6272,2018,205237609,201942049349100009,ERATH FAMILY FOUNDATION CO IRVINE AND COMPANY CPAS LLC,IRS990PF,pf_part_i,0.0,236639.0,2796337.0,,201812.0,T22
7660,2018,471089244,201941989349200204,KOR COMMUNITY LAND TRUST,IRS990EZ,ez_part_i,75835.0,147302.0,306647.0,138332.0,201812.0,L20
2624,2018,202427855,201941979349300809,MEDERI FOUNDATION,IRS990,part_i,603252.0,1200440.0,589642.0,1175027.0,201812.0,G90
7382,2018,471643310,201941979349200714,BENEFIT FOR THE BASIN,IRS990EZ,ez_part_i,,159539.0,40153.0,88549.0,201812.0,N52
9084,2018,930675706,201941979349200244,MYRTLE CREEK VOLUNTEER FIREMANS ASSOCIAT,IRS990EZ,ez_part_i,,94519.0,244521.0,84173.0,201812.0,M99
1112,2018,821057365,201941979349100704,JOHN AND ELIZABETH ALLTUCKER CHARITABLE FOUNDATION,IRS990PF,pf_part_i,0.0,4511420.0,3743331.0,,201812.0,P12
2860,2018,936213036,201941969349302554,AREA I PLUMBERS JATC APPRENTICESHIP TR F,IRS990,part_i,0.0,1033655.0,1442719.0,728468.0,201812.0,J22
9534,2018,936034549,201941969349302519,MT HOOD SKI PATROL INC,IRS990,part_i,0.0,81033.0,562831.0,52769.0,201808.0,
6982,2018,133060669,201941969349300119,FRIENDS OF THE TONY PATINO FELLOWSHIP INC,IRS990,part_i,0.0,180900.0,11140.0,180900.0,201812.0,
9994,2018,200461816,201941969349100434,WECKS FAMILY FOUNDATION,IRS990PF,pf_part_i,6000.0,69875.0,736907.0,,201812.0,T20
12810,2018,936289245,201941969349100414,QUANTUM CHARITABLE TRUST,IRS990PF,pf_part_i,,20.0,15193.0,,201808.0,T20Z
6872,2018,900408573,201941959349300104,WEST LINN HIGH SCHOOL BASEBALL ALUMNI ASSN INC,IRS990,part_i,0.0,186847.0,69247.0,186847.0,201808.0,N63
1630,2018,930999999,201941939349300724,FRIENDS OF TREES,IRS990,part_i,1569504.0,2631675.0,1822757.0,2631675.0,201808.0,C500
11844,2018,472574704,201941939349200729,CENTRAL FFA ALUMNI ASSOCIATION,IRS990EZ,ez_part_i,,24566.0,34155.0,21454.0,201902.0,O52
12656,2018,814045731,201941939349200444,KAIROS GLOBAL FOUNDATION INC,IRS990EZ,ez_part_i,,2100.0,7378.0,2100.0,201812.0,P12
9832,2018,510185145,201941939349200409,WASHINGTON COUNTY DENTAL SOCIETY,IRS990EZ,ez_part_i,34562.0,73649.0,163896.0,73649.0,201805.0,
7980,2018,930513770,201941939349200144,ROTARY CLUB OF COOS BAY - NORTH BEND OR,IRS990EZ,ez_part_i,,133098.0,165411.0,133098.0,201806.0,
4766,2018,472268814,201941929349301134,FIRST WHIP FOOLS,IRS990,part_i,0.0,410872.0,349069.0,405711.0,201812.0,B03
2418,2018,943360737,201941929349300344,B-WORD WORLDWIDE INC BITCH MEDIA,IRS990,part_i,673491.0,1374782.0,176634.0,1363816.0,201812.0,A33
11480,2018,930756481,201941929349200644,FOREST GROVE FIREFIGHTERS ASSOCIATION,IRS990EZ,ez_part_i,,35837.0,112902.0,20252.0,201902.0,
9862,2018,311763132,201941929349200224,CENTENNIAL YOUTH FOOTBALL ASSOCIATION,IRS990EZ,ez_part_i,,72890.0,24476.0,58542.0,201812.0,N65
11862,2018,451135252,201941929349200039,REX PUTNAM YOUTH CHEER INC,IRS990EZ,ez_part_i,,24250.0,8419.0,9400.0,201812.0,A11
3514,2018,510154995,201941919349301084,HOOD RIVER SENIOR CITIZENS INC,IRS990,part_i,195406.0,744308.0,1870081.0,738672.0,201812.0,P20
4946,2018,911259419,201941919349300534,HANSLER RANCH ASSOCIATION,IRS990,part_i,0.0,380709.0,158967.0,2056.0,201812.0,
9112,2018,930950362,201941919349200744,ROSEBURG PLAYSCHOOL COOPERATIVE INC,IRS990EZ,ez_part_i,79019.0,93496.0,64847.0,84297.0,201808.0,
5188,2018,936032742,201941909349301304,ORAL HULL FOUNDATION FOR THE BLIND,IRS990,part_i,267745.0,350973.0,1929191.0,320276.0,201812.0,G41Z
2666,2018,510157168,201941909349301154,OREGON STATE SNOWMOBILE ASSOCIATION,IRS990,part_i,78717.0,1165841.0,2679037.0,1165841.0,201808.0,
11216,2018,731636316,201941909349200104,MOBILIZE MANKIND,IRS990EZ,ez_part_i,13557.0,43357.0,4234.0,42925.0,201812.0,Q33
12834,2018,202033108,201941909349100604,MOREY FAMILY FOUNDATION,IRS990PF,pf_part_i,0.0,1.0,104359.0,,201808.0,B82
788,2018,930386976,201941899349301079,YOUNG MENS CHRISTIAN ASSOCIATION OF ASHLAND,IRS990,part_i,2050131.0,7560714.0,24581574.0,7560714.0,201812.0,
1638,2018,464704743,201941899349300214,DRESSEMBER FOUNDATION,IRS990,part_i,190349.0,2619682.0,611185.0,2543033.0,201903.0,P20
9128,2018,911814504,201941899349200644,MIDTOWN BUSINESS ASSOCIATES,IRS990EZ,ez_part_i,,93237.0,17583.0,93237.0,201903.0,S21
10384,2018,452997634,201941899349200539,OREGON SCHOLASTIC CLAY TARGET PROGRAM INC,IRS990EZ,ez_part_i,6000.0,61219.0,40705.0,61219.0,201812.0,N60
6182,2018,931192772,201941899349100319,MILES WENDELL MOORE AND GERALDINE M SCHOLARSHIP FUND CO DENISE GUTHRIE,IRS990PF,pf_part_i,,243394.0,361455.0,,201905.0,T22Z
4852,2018,930575301,201941889349300004,BENEVOLENT AND PROTECTIVE ORDER OF ELKS,IRS990,part_i,35881.0,396481.0,3452448.0,152617.0,201903.0,
3286,2018,943218650,201941849349301204,ACCESS TECHNOLOGIES INC,IRS990,part_i,382231.0,829361.0,1391867.0,723555.0,201809.0,J300
10038,2018,930677896,201941849349200319,COOS BAY YACHT CLUB,IRS990EZ,ez_part_i,,68918.0,271562.0,57688.0,201812.0,
10896,2018,461677836,201941849349200309,ASHA - INC,IRS990EZ,ez_part_i,,51046.0,6813.0,51046.0,201812.0,B90
3678,2018,930557517,201941799349301214,PORTLAND ASSOCIATION OF TEACHERS INC,IRS990,part_i,245693.0,669444.0,890397.0,669444.0,201808.0,
5534,2018,930999442,201941799349300959,HELLS CANYON PRESERVATION COUNCIL INC,IRS990,part_i,234984.0,310111.0,308506.0,273018.0,201812.0,C34A
8020,2018,371534151,201941799349200424,GEEZER GALLERY,IRS990EZ,ez_part_i,19838.0,131547.0,44460.0,108046.0,201812.0,P21
5100,2018,936025596,201941789349300889,OSTEOPATHIC PHYSICIANS AND SURGEONS OF OREGON,IRS990,part_i,166095.0,361963.0,186137.0,323819.0,201812.0,
3348,2018,208035378,201941789349300749,BOYS AND GIRLS CLUB OF WESTERN TREASURE VALLEY,IRS990,part_i,438309.0,812801.0,464846.0,796613.0,201812.0,O23
6378,2018,262713779,201941789349300729,CHRIST SANCTUARY INTERNATIONAL,IRS990,part_i,0.0,229073.0,22121.0,229073.0,201812.0,Q33
1892,2018,930344910,201941789349300709,ROSEBURG COUNTRY CLUB,IRS990,part_i,471637.0,2135645.0,4776063.0,1327581.0,201812.0,
1940,2018,521938720,201941789349300549,NATIONAL DRY BEAN COUNCIL,IRS990,part_i,0.0,2042782.0,551334.0,2042782.0,201809.0,S41
7070,2018,510152357,201941729349200734,KIDS INCORPORATED OF DALLAS,IRS990EZ,ez_part_i,11407.0,175646.0,62299.0,151029.0,201812.0,
12778,2018,831348199,201941729349200619,CONNECT COMPANY,IRS990EZ,ez_part_i,,100.0,1.0,100.0,201812.0,P43
5718,2018,300137313,201941719349300229,WILDLIFE WARRIORS USA INC,IRS990,part_i,47924.0,289034.0,169972.0,157260.0,201812.0,T30
12314,2018,473552895,201941719349200614,SISTERS ARTS ASSOCIATION,IRS990EZ,ez_part_i,,11073.0,11050.0,11073.0,201812.0,A90
7950,2018,263675851,201941719349200234,LYDIA INC,IRS990EZ,ez_part_i,,134528.0,26966.0,134528.0,201812.0,Q32
7534,2018,931233605,201941709349200334,CLACKAMAS EMERGENCY SERVICES FOUNDATION,IRS990EZ,ez_part_i,,153934.0,228724.0,132134.0,201812.0,M24
2044,2018,936021333,201941709349100109,AUTZEN FOUNDATION,IRS990PF,pf_part_i,2975.0,1869191.0,8235080.0,,201812.0,
3786,2018,930617863,201941689349300639,PACIFIC NORTHWEST CHAPTER OF ASSOCIATED BUILDERS AND CONTRACTORS INC,IRS990,part_i,18100.0,629540.0,745359.0,553187.0,201812.0,
4988,2018,936025585,201941689349300634,OREGON CLUB OF EUGENE-SPRINGFIELD,IRS990,part_i,37126.0,375992.0,87362.0,153085.0,201807.0,B43I
10048,2018,936030658,201941689349200649,DEPOE BAY CHAMBER OF COMMERCE INC,IRS990EZ,ez_part_i,,68809.0,47722.0,33396.0,201807.0,
7802,2018,911708963,201941659349200244,EMERGENCY ASSISTANCE FUND FOR HORIZON AIR EMPLOYEES,IRS990EZ,ez_part_i,,140505.0,406243.0,140505.0,201812.0,Y20
3908,2018,471919872,201941649349100029,DREAM DRIVES FOR KIDS,IRS990PF,pf_part_i,,598499.0,2133553.0,,201812.0,G30
556,2018,273990987,201941639349301059,FOODCORPS INC,IRS990,part_i,11459884.0,12605560.0,9952271.0,12605560.0,201807.0,K40
3942,2018,930122405,201941639349300049,BENEVOLENT AND PROTECTIVE ORDER OF ELKS OF THE UNITED STATES OF AMERICA,IRS990,part_i,48590.0,590206.0,882387.0,187394.0,201903.0,
6792,2018,823412020,201941639349200729,OREGON BUSINESS ALLIANCE FOR CLIMATE,IRS990EZ,ez_part_i,,193378.0,94314.0,193378.0,201807.0,C20
8148,2018,205390859,201941639349200324,CITY CLUB OF CENTRAL OREGON,IRS990EZ,ez_part_i,55527.0,126473.0,61795.0,126473.0,201812.0,S20
4782,2018,936024129,201941629349300649,OREGON SCOTTISH RITE EDUCATION FOUNDATION INC,IRS990,part_i,0.0,408502.0,771657.0,93235.0,201812.0,Y400
188,2018,300179374,201941629349100759,CRABBY BEACH FOUNDATION CO JEANNE BECKER,IRS990PF,pf_part_i,8100.0,51790425.0,56636115.0,,201812.0,T20
3352,2018,930776616,201941619349300729,PORTLAND GAY MENS CHORUS,IRS990,part_i,257915.0,810766.0,290266.0,810520.0,201808.0,
12612,2018,471340974,201941619349200414,AMYS HOUSE TOAST FOR A CURE,IRS990EZ,ez_part_i,,3000.0,9561.0,3000.0,201901.0,G96
12460,2018,931191742,201941619349100454,JACK HOLT FAMILY FOUNDATION  HEIDI U HOLT,IRS990PF,pf_part_i,0.0,7500.0,2138.0,,201812.0,T20Z
12590,2018,831777742,201941599349300404,KADIMA ANIMAL SANCTUARY INC,IRS990,part_i,0.0,3600.0,245.0,3600.0,201812.0,D20
4810,2018,261535453,201941589349300334,CENTER FOR RENEWABLE ENERGY AND APPROPRIATE TECHNOLOGY FOR THE ENVI,IRS990,part_i,199670.0,403492.0,68195.0,403492.0,201812.0,Q30
4382,2018,930297249,201941589349300024,TILLAMOOK LODGE 1437 BPOE,IRS990,part_i,88134.0,487571.0,672925.0,352782.0,201903.0,
12378,2018,161723839,201941569349200769,OREGON COURT SECURITY OFFICERS,IRS990EZ,ez_part_i,,9685.0,171828.0,9685.0,201903.0,J40
12564,2018,66542543,201941569349100814,JOHN AND DORIANNE VENATOR CHARITABLE FOUNDATION FOR THE ARTS,IRS990PF,pf_part_i,,4125.0,3629.0,,201812.0,A40
5636,2018,930826652,201941559349300969,DOWNTOWN BEND BUSINESS ASSOCIATION,IRS990,part_i,130836.0,297560.0,47169.0,297560.0,201806.0,
1044,2018,930388092,201941559349300509,columbia power cooperative association,IRS990,part_i,384459.0,4908400.0,24855730.0,4672991.0,201812.0,
12246,2018,273466796,201941559349200604,COLUMBIA GORGE TOURISM ALLIANCE FOUNDATION,IRS990EZ,ez_part_i,,13002.0,6475.0,13002.0,201812.0,C60
2564,2018,930169132,201941549349301119,LABORERS INTERNATIONAL UNION LOCAL 483,IRS990,part_i,575641.0,1255475.0,1253742.0,1255475.0,201812.0,
10386,2018,930567668,201941549349300849,ORDER OF THE ANTELOPE FOUNDATION,IRS990,part_i,0.0,61190.0,762882.0,61190.0,201812.0,D123
7920,2018,263316353,201941549349200439,MILLTOWN UNITED SOCCER CLUB,IRS990EZ,ez_part_i,,136183.0,117127.0,136183.0,201812.0,N64
9010,2018,541945858,201941549349200204,WORSLEY INSTITUTE OF CLASSICAL FIVE-ELEMENT ACUPUNCTURE,IRS990EZ,ez_part_i,,96355.0,29063.0,96355.0,201812.0,H90
10962,2018,930943532,201941549349200119,YAMHILL COUNTY ASSOCIATION OF REALTORS,IRS990EZ,ez_part_i,17513.0,49788.0,61496.0,49788.0,201812.0,S47
12806,2018,200156954,201941549349100324,EARHART CHARITABLE FOUNDATION,IRS990PF,pf_part_i,,23.0,16713.0,,201812.0,T20
6786,2018,931006901,201941519349301404,NEIGHBORS HELPING NEIGHBORS,IRS990,part_i,0.0,193979.0,469781.0,193979.0,201812.0,X99Z
5208,2018,113097675,201941519349300824,INTL ALUMI ASSN OF SHRI MAHAVIR,IRS990,part_i,0.0,348613.0,2041814.0,278479.0,201812.0,Q99Z
2176,2018,931205916,201941519349300719,INSTITUTE FOR WORLD EVANGELIZATION,IRS990,part_i,15390.0,1666216.0,3401226.0,1666216.0,201806.0,X99
1108,2018,930386982,201941519349300614,FAMILY YOUNG MENS CHRISTIAN ASSOCIATION OF MARION AND POLK COUNTIES,IRS990,part_i,2499638.0,4516836.0,2657691.0,4433132.0,201812.0,
6256,2018,474996726,201941519349300149,IN OUR BACKYARD,IRS990,part_i,124053.0,238473.0,173485.0,208750.0,201812.0,I70
4920,2018,455100719,201941509349300929,REBECCA BENDER INITIATIVE,IRS990,part_i,233335.0,384257.0,140536.0,382673.0,201812.0,Q30
3114,2018,201234712,201941509349300444,KAIROS CHURCH PLANTING SUPPORT,IRS990,part_i,608901.0,904238.0,214624.0,904238.0,201812.0,X20
9720,2018,465272912,201941499349200809,LAVA BEAR YOUTH SPORTS FOUNDATION,IRS990EZ,ez_part_i,,76685.0,34385.0,66933.0,201812.0,N12
6468,2018,814235130,201941499349100509,ROBERT J KILKENNY FAMILY FOUNDATION,IRS990PF,pf_part_i,,222843.0,75843.0,,201812.0,B82
2636,2018,137044726,201941499349100424,AOH FOUNDATION,IRS990PF,pf_part_i,,1190751.0,506738.0,,201812.0,
10994,2018,930958235,201941489349300679,EAST COUNTY ALANO CLUB INC,IRS990,part_i,0.0,48869.0,159758.0,15895.0,201812.0,
2910,2018,930716906,201941429349301249,OREGON AUTOMOBILE DEALERS ASSOCIATION INC,IRS990,part_i,87010.0,991658.0,1645375.0,937394.0,201806.0,S41
10906,2018,237145928,201941419349301659,INDEPENDENT ORDER OF ODD FELLOWS 78 GOLDEN RULE,IRS990,part_i,3555.0,50931.0,937577.0,-6910.0,201812.0,
8748,2018,930829638,201941409349200634,NORTH PACIFIC ORTHOPAEDIC SOCIETY,IRS990EZ,ez_part_i,,104531.0,62242.0,56744.0,201812.0,
1346,2018,930386984,201941379349301109,YWCA OF GREATER PORTLAND,IRS990,part_i,1256611.0,3464127.0,3764775.0,3278109.0,201806.0,P27
11534,2018,931286393,201941379349200244,COQUILLE VOLUNTEER FIREFIGHTERS,IRS990EZ,ez_part_i,,34281.0,64743.0,20818.0,201812.0,M24
10196,2018,931118057,201941379349200224,KUTSINHIRA CULTURAL ARTS CENTER,IRS990EZ,ez_part_i,27301.0,65678.0,23204.0,62321.0,201812.0,
12144,2018,453668320,201941379349100709,SIDNEY AND KAREN FOUNDATION,IRS990PF,pf_part_i,0.0,15505.0,10094.0,,201812.0,T20
12424,2018,931272247,201941379349100309,ARNOLD MARKS FAMILY CHARITABLE TRUST,IRS990PF,pf_part_i,4457.0,8337.0,260538.0,,201812.0,T20
8844,2018,203636934,201941369349301204,CLAYTON AND LOREE FOX FFA ENHANCEMENT FOUNDATION,IRS990,part_i,0.0,101821.0,767690.0,32088.0,201812.0,B122
4550,2018,133929315,201941369349301044,21ST CENTURY CARDIOTHORACIC SURGICAL SOCIETY,IRS990,part_i,0.0,448381.0,300575.0,448381.0,201812.0,S41
4184,2018,930683005,201941369349300704,OREGON STUDENT ASSOCIATION,IRS990,part_i,414891.0,534933.0,213686.0,534933.0,201806.0,
9320,2018,936090014,201941369349201164,FISHERMENS WIVES INC,IRS990EZ,ez_part_i,,86340.0,122442.0,58184.0,201812.0,
11396,2018,311713660,201941369349200969,CENTRAL OREGON JUNIOR GOLF ASSOCIATION,IRS990EZ,ez_part_i,9000.0,37915.0,36333.0,37915.0,201812.0,N6A
10802,2018,943090360,201941369349200914,TUALATIN HISTORICAL SOCIETY,IRS990EZ,ez_part_i,23843.0,52824.0,107396.0,50185.0,201806.0,A82Z
11770,2018,452197013,201941369349200724,LEARN FOUNDATION,IRS990EZ,ez_part_i,,26646.0,6697.0,26646.0,201812.0,B122
9338,2018,931256343,201941369349200244,NATURES COASTAL HOLIDAY,IRS990EZ,ez_part_i,,85892.0,59059.0,85892.0,201906.0,N32
12844,2018,931263775,201941369349100329,OREGON RECYCLING MARKETS DEVELOPMENT CORPORATION,IRS990PF,pf_part_i,,1.0,5231.0,,201812.0,C27
4394,2018,951617840,201941369349100104,GOOD SHEPHERD FOUNDATION INC,IRS990PF,pf_part_i,,485180.0,2034014.0,,201812.0,D20Z
3416,2018,930667383,201941359349314419,REGIS HIGH SCHOOL FOUNDATION,IRS990,part_i,106822.0,792439.0,5623243.0,792439.0,201806.0,B25I
3350,2018,272151955,201941359349313569,ELEVATE OREGON,IRS990,part_i,645439.0,810809.0,771270.0,804598.0,201806.0,O50
4548,2018,271265550,201941359349313359,CLEAN WATER INSTITUTE,IRS990,part_i,0.0,449006.0,405732.0,449006.0,201806.0,C32
3034,2018,471364469,201941359349313189,MCMINNVILLE CHRISTIAN ACADEMY,IRS990,part_i,728091.0,933320.0,14288.0,885885.0,201806.0,B99
7236,2018,200646954,201941359349313119,DOWNTOWN LANGUAGES,IRS990,part_i,195160.0,167427.0,50086.0,167427.0,201812.0,P80
4648,2018,930684067,201941359349313054,RUBY PEAK SPRINKLER ASSOCIATION INC,IRS990,part_i,0.0,429134.0,343.0,429134.0,201812.0,Y22
8208,2018,200047050,201941359349313014,PAYE INC,IRS990,part_i,0.0,123789.0,504301.0,123789.0,201812.0,P99
6540,2018,593813059,201941359349312734,JEFFERSON REGIONAL HEALTH ALLIANCE,IRS990,part_i,71765.0,214786.0,120813.0,214786.0,201812.0,E22
1716,2018,931200323,201941359349311989,SEVEN PEAKS SCHOOL,IRS990,part_i,1994920.0,2419835.0,1051769.0,2364896.0,201806.0,B24Z
11066,2018,593541644,201941359349311979,INDOOR BILLBOARD ADVERTISING A,IRS990,part_i,0.0,46882.0,11683.0,46882.0,201812.0,S41
942,2018,930423965,201941359349311529,ARC OF LANE COUNTY,IRS990,part_i,3988295.0,5834528.0,4013238.0,5250464.0,201806.0,
340,2018,930605570,201941359349311444,NORTHWEST HUMAN SERVICES INC,IRS990,part_i,13881433.0,24921211.0,31613192.0,24921211.0,201806.0,P200
12452,2018,943115733,201941359349311429,CLUB WEST WRESTLING INC,IRS990,part_i,14459.0,7636.0,982618.0,7636.0,201812.0,N66Z
408,2018,261168995,201941359349311084,OREGON VIRTUAL ACADEMY,IRS990,part_i,7217640.0,19275466.0,5636224.0,19275466.0,201806.0,B29
5364,2018,943138410,201941359349311014,SODA MOUNTAIN WILDERNESS COUNCIL INC,IRS990,part_i,134158.0,327363.0,679243.0,324349.0,201812.0,
8836,2018,272595437,201941359349310864,ONTARIO FERAL CAT PROJECT,IRS990,part_i,0.0,102217.0,141864.0,102217.0,201812.0,D20
1858,2018,930471981,201941359349310784,OREGON AFL-CIO,IRS990,part_i,1581297.0,2189537.0,1856218.0,2189537.0,201812.0,
3336,2018,201760894,201941359349310674,READING RESULTS,IRS990,part_i,725003.0,816385.0,648971.0,801152.0,201806.0,
4276,2018,475181333,201941359349310524,PORTLAND CHARTER PARTNERS,IRS990,part_i,65170.0,511998.0,481077.0,511998.0,201806.0,B11
6534,2018,721583726,201941359349310459,NETWORK OF ENSEMBLE THEATERS INC,IRS990,part_i,200724.0,215359.0,558860.0,215359.0,201806.0,A65
1554,2018,930711337,201941359349310269,OREGON 4-H FOUNDATION,IRS990,part_i,201900.0,2838274.0,17669494.0,2583882.0,201806.0,
2896,2018,931058134,201941359349310129,WILLAMETTE VALLEY CHRISTIAN SCHOOL,IRS990,part_i,586287.0,1003830.0,1203551.0,982700.0,201806.0,
4082,2018,43603409,201941359349309949,WEST SALEM HIGH SCHOOL EDUCATION FOUNDATION,IRS990,part_i,0.0,561317.0,339827.0,451790.0,201806.0,B112
1842,2018,460987167,201941359349309279,KAIROSPDX,IRS990,part_i,1423855.0,2219058.0,1676914.0,2138797.0,201806.0,B20
4104,2018,237199077,201941359349307619,GRAND RONDE COMMUNITY WATER ASSOCIATION,IRS990,part_i,227743.0,557203.0,2697380.0,556262.0,201812.0,
3752,2018,931264009,201941359349307199,WILLAMETTE ANIMAL GUILD,IRS990,part_i,386218.0,645198.0,185028.0,641587.0,201812.0,D20
1400,2018,930751310,201941359349306994,EUGENESPRINGFIELD CONVENTION AND VISITORS BUREAU INC,IRS990,part_i,1454637.0,3256013.0,1838746.0,3255447.0,201806.0,
5902,2018,931064935,201941359349304494,SCHOOL FOUNDATION INC,IRS990,part_i,47661.0,268881.0,535035.0,263538.0,201806.0,J20
4340,2018,930824369,201941359349304389,INDEPENDENT DEFENDERS INC,IRS990,part_i,10800.0,496766.0,73178.0,496766.0,201812.0,I80Z
3724,2018,300002011,201941359349304329,CARING AMBASSADORS PROGRAM INC,IRS990,part_i,433670.0,655098.0,167286.0,655098.0,201812.0,G01
4676,2018,311677531,201941359349301784,COMMUNITY HOUSING SERVICES,IRS990,part_i,0.0,425742.0,5050695.0,425742.0,201806.0,L82
9300,2018,930476220,201941359349206699,OREGON STATE BOWLING PROPRIETORS ASSN,IRS990EZ,ez_part_i,19916.0,87289.0,71624.0,87289.0,201812.0,S41
12372,2018,453615242,201941359349206679,ASSOCIATION FOR RESALE INNOVATION,IRS990EZ,ez_part_i,,9800.0,19351.0,9800.0,201812.0,S41
11372,2018,911780273,201941359349206669,BOARDMAN SENIOR CITIZENS INC,IRS990EZ,ez_part_i,19719.0,38639.0,413290.0,38639.0,201806.0,P81
11918,2018,931300121,201941359349206634,SEASIDE HALL,IRS990EZ,ez_part_i,,22519.0,16177.0,22519.0,201812.0,F99
12500,2018,473036255,201941359349206559,DANCE FOR PARKINSONS OREGON,IRS990EZ,ez_part_i,4195.0,5711.0,2401.0,5711.0,201812.0,A25
9250,2018,930710456,201941359349206554,JOSEPHINE COUNTY 4-H ASSOCIATION,IRS990EZ,ez_part_i,,89268.0,53701.0,89268.0,201806.0,
8328,2018,930989382,201941359349206334,WILD HOPE INC SIERRA TREKSLITTLEFOOT EXPEDITIONS,IRS990EZ,ez_part_i,18614.0,118867.0,34979.0,118867.0,201812.0,
10608,2018,936032285,201941359349206324,ALBANY ROTARY CLUB,IRS990EZ,ez_part_i,,57064.0,85177.0,39179.0,201806.0,
8416,2018,931261322,201941359349205889,FRIENDS OF MALHEUR NATIONAL WILDLIFE REFUGE,IRS990EZ,ez_part_i,35508.0,115327.0,246305.0,86366.0,201812.0,C30
8760,2018,815435956,201941359349205809,BUKOBA CHILDRENS FOUNDATION,IRS990EZ,ez_part_i,0.0,104250.0,1018.0,104250.0,201812.0,O50
11078,2018,943059469,201941359349205629,SAINT ALPHONSUS MEDICAL CENTER ONTARIO VOLUNTEERS,IRS990EZ,ez_part_i,,46772.0,28751.0,17706.0,201806.0,E22I
10498,2018,936033131,201941359349204094,VETERANS OF FOREIGN WARS POST 922,IRS990EZ,ez_part_i,,59083.0,189693.0,48216.0,201812.0,
9362,2018,936031807,201941359349204044,ROTARY CLUB OF NEWPORT,IRS990EZ,ez_part_i,,85276.0,109388.0,80775.0,201806.0,
8010,2018,931325725,201941359349203969,SPRINGFIELD PUBLIC LIBRARY FOUNDATION,IRS990EZ,ez_part_i,,132164.0,128004.0,121861.0,201812.0,B117
8720,2018,930832517,201941359349203744,MONMOUTH INDEPENDENCE KIDS INC DBA CENTRAL YOUTH SPORTS,IRS990EZ,ez_part_i,2457.0,105237.0,92113.0,102823.0,201806.0,
