,RETURN_ID,FILING_TYPE,EIN,TAX_PERIOD_x,SUB_DATE,TAXPAYER_NAME,RETURN_TYPE,DLN,OBJECT_ID,NAME,ICO,STREET,CITY,STATE,ZIP,SUBSECTION,INCOME_AMT,ASSET_AMT,REVENUE_AMT,TAX_PERIOD_y,NTEE_CD
4901,16279853,EFILE,237426300,201803,5/8/2019 11:02:37 PM,LEGACY HEALTH,990,93493046022209,201900469349302220,LEGACY HEALTH,,1919 NW LOVEJOY ST,PORTLAND,OR,97209-1503,3,297199639.0,1420270239.0,267401320.0,201803.0,E210
4448,16291228,EFILE,237017278,201806,5/13/2019 5:26:47 AM,UFCW LOCAL 555-EMPLOYERS HEALTH TRUST,990O,93493084005389,201930849349300538,UFCW LOCAL 555 EMPLOYERS HEALTH TRUST,% PATI PIRO-BOSLEY,12205 SW TUALATIN RD STE 200,TUALATIN,OR,97062-7919,9,293340023.0,209460031.0,163972564.0,201806.0,
6570,15192973,EFILE,930386908,201706,3/1/2018 12:12:12 AM,REED INSTITUTE,990,93493046015068,201810469349301506,REED INSTITUTE,% REED COLLEGE,3203 SE WOODSTOCK BLVD,PORTLAND,OR,97202-8199,3,285323073.0,820270782.0,116460019.0,201806.0,B420
6198,15979474,EFILE,936023048,201712,12/6/2018 6:33:36 PM,HARRISON ELECTRICAL WORKERS TRUST,990O,93493285016238,201832859349301623,HARRISON ELECTRICAL WORKERS TRUST FUND,,PMB 116 5331 SW MACADAM,PORTLAND,OR,97239-6104,9,264956660.0,236957397.0,138180985.0,201812.0,
4222,16293706,EFILE,930401259,201806,5/13/2019 4:24:36 PM,UNIVERSITY OF PORTLAND,990,93493043003099,201940439349300309,UNIVERSITY OF PORTLAND,% ERIC BARGER,5000 N WILLAMETTE BLVD,PORTLAND,OR,97203-5798,3,262866470.0,588649619.0,259262659.0,201806.0,B430
4869,16280449,EFILE,930618975,201803,5/9/2019 2:21:12 AM,LEGACY MERIDIAN PARK HOSPITAL,990,93493046022689,201930469349302268,LEGACY MERIDIAN PARK HOSPITAL,,19300 SW 65TH AVE,TUALATIN,OR,97062-7706,3,253157189.0,428738530.0,253157189.0,201803.0,E220
4444,16451627,EFILE,936015767,201806,6/28/2019 6:00:43 PM,UNIVERSITY OF OREGON FOUNDATION,990,93493135067139,201931359349306713,UNIVERSITY OF OREGON FOUNDATION,% SHANNA BENNETT,1720 E 13TH AVE STE 410,EUGENE,OR,97403-2253,3,240220978.0,1405487960.0,171996503.0,201806.0,B110
4784,16285929,EFILE,930386858,201805,5/10/2019 8:24:03 AM,LEWIS AND CLARK COLLEGE,990,93493086001339,201930869349300133,LEWIS AND CLARK COLLEGE,,0615 SW PALATINE HILL RD,PORTLAND,OR,97219-7879,3,239920330.0,448226032.0,187025201.0,201805.0,B420
5977,15938548,EFILE,463264330,201712,11/23/2018 10:06:32 AM,HEALTH PLAN OF CAREOREGON INC,990,93493305014678,201823059349301467,HEALTH PLAN OF CAREOREGON INC,% TERESA KENNEDY LEARN CFO,315 SW 5TH AVE,PORTLAND,OR,97204-1703,3,237907651.0,71658354.0,230991464.0,201812.0,E31
2628,16766515,EFILE,931192140,201809,10/21/2019 10:27:18 PM,PACIFIC NORTHWEST GENERATING COOPERATIVE DBA PNGC POWER,990O,93493226026429,201922269349302642,PACIFIC NORTHWEST GENERATING COOPERATIVE,% PACIFIC NORTHWEST GENERATING COOP,711 NE HALSEY NO 200,PORTLAND,OR,97232-1268,12,237204080.0,67228965.0,236942799.0,201809.0,
4881,16299781,EFILE,930806316,201803,5/14/2019 4:50:12 PM,MEYER MEMORIAL TRUST,990PF,93491046002049,201940469349100204,MEYER MEMORIAL TRUST,,425 NW 10TH AVE STE 400,PORTLAND,OR,97209-3128,3,233275523.0,790090705.0,,201803.0,T21
4729,16354144,EFILE,930386868,201806,5/29/2019 5:53:55 PM,MERCY MEDICAL CENTER INC,990,93493133083579,201921339349308357,MERCY MEDICAL CENTER INC,,2700 NW STEWART PKWY,ROSEBURG,OR,97471-1281,3,231093016.0,379299912.0,230099235.0,201806.0,E220
4702,16557072,EFILE,930430029,201806,8/9/2019 10:17:22 AM,TUALITY HEALTHCARE,990,93493134093399,201941349349309339,TUALITY HEALTHCARE,,334 SE 8TH AVE,HILLSBORO,OR,97123-4201,3,204584766.0,150513163.0,204584766.0,201806.0,E220
1695,16720003,EFILE,930386840,201812,10/4/2019 12:59:31 PM,GOODWILL INDUSTRIES OF THE COLUMBIA WILLAMETTE,990,93493226010209,201902269349301020,GOODWILL INDUSTRIES OF THE COLUMBIA WILLAMETTE,,1943 SE 6TH AVE,PORTLAND,OR,97214-4508,3,201917788.0,308538731.0,175793010.0,201812.0,J320
5049,16065030,EFILE,930110095,201712,2/5/2019 1:13:37 PM,ALBANY GENERAL HOSPITAL,990,93493319184208,201803199349318420,ALBANY GENERAL HOSPITAL,% SHS ACCOUNTING,PO BOX 3000,CORVALLIS,OR,97339-3000,3,193822505.0,68122268.0,192329662.0,201812.0,E22Z
3788,16345423,EFILE,930386892,201806,5/28/2019 8:35:30 AM,PACIFIC UNIVERSITY,990,93493129025679,201921299349302567,PACIFIC UNIVERSITY,% ALLIE LOSLI,2043 COLLEGE WAY,FOREST GROVE,OR,97116-1756,3,192293128.0,274278475.0,169822898.0,201806.0,B430
5493,16093977,EFILE,936026156,201712,2/13/2019 10:49:58 PM,FORD FAMILY FOUNDATION,990PF,93491319051168,201813199349105116,FORD FAMILY FOUNDATION,% NORTHERN TRUST CO,1600 NW STEWART PKWY,ROSEBURG,OR,97471-1957,3,191921572.0,864715660.0,,201812.0,T21
6128,16025459,EFILE,931313663,201712,12/19/2018 3:26:07 PM,ENERGY TRUST OF OREGON INC,990,93493318097528,201823189349309752,ENERGY TRUST OF OREGON INC,% MILLER NASH LLP,421 SW OAK ST STE 300,PORTLAND,OR,97204-1810,3,191662396.0,96399162.0,191662396.0,201812.0,C350
3874,16375924,EFILE,930386839,201806,6/4/2019 7:20:35 PM,GEORGE FOX UNIVERSITY,990,93493135123769,201911359349312376,GEORGE FOX UNIVERSITY,% CRIS BANTON,414 N MERIDIAN ST,NEWBERG,OR,97132-2697,3,177656207.0,172443298.0,132997587.0,201806.0,B430
3790,16345419,EFILE,237083114,201806,5/28/2019 8:35:25 AM,OREGON HEALTH AND SCIENCE UNIVERSITY FOUNDATION,990,93493129025379,201921299349302537,OREGON HEALTH AND SCIENCE UNIVERSITY FOUNDATION,% TARA SIMS CFO - VP FINANCE,1121 SW SALMON ST FLR 2,PORTLAND,OR,97205-2000,3,167223477.0,1519085177.0,79454276.0,201806.0,B110
5948,15941347,EFILE,364742731,201712,11/26/2018 8:14:40 AM,YAMHILL COUNTY CARE ORGANIZATION INC,990,93493278014158,201802789349301415,YAMHILL COUNTY CARE ORGANIZATION INC,% SILAS HALLORAN-STEINER,807 NE 3RD ST,MCMINNVILLE,OR,97128-4433,3,164859726.0,36811628.0,163772398.0,201812.0,E60
3214,16206174,EFILE,936022772,201806,4/3/2019 7:30:04 PM,OREGON STATE UNIVERSITY FOUNDATION,990,93493017006239,201930179349300623,OREGON STATE UNIVERSITY FOUNDATION,,4238 SW RESEARCH WAY,CORVALLIS,OR,97333-1068,3,164407687.0,793133191.0,139155244.0,201806.0,B110
4791,16283479,EFILE,930386972,201805,5/9/2019 3:00:12 PM,WILLAMETTE UNIVERSITY,990,93493060015149,201940609349301514,WILLAMETTE UNIVERSITY,% KEN PIFER,900 STATE ST,SALEM,OR,97301-3922,3,158798765.0,470919843.0,133466370.0,201805.0,B430
4892,16295361,EFILE,930591528,201803,5/13/2019 9:30:12 PM,LEGACY MOUNT HOOD MEDICAL CENTER,990,93493046022199,201940469349302219,LEGACY MOUNT HOOD MEDICAL CENTER,,24800 SE STARK ST,GRESHAM,OR,97030-3378,3,158037771.0,120094233.0,158024021.0,201803.0,E220
3904,16309491,EFILE,930686108,201806,5/16/2019 10:08:40 PM,NWEA,990,93493049001199,201940499349300119,NWEA,,121 NW EVERETT ST,PORTLAND,OR,97209-4049,3,148503655.0,80216791.0,148503655.0,201806.0,B93Z
5431,16038315,EFILE,930583856,201712,1/28/2019 5:16:05 PM,COLUMBIA LUTHERAN CHARITIES,990,93493316028718,201813169349302871,COLUMBIA LUTHERAN CHARITIES,% CFO,2111 EXCHANGE ST,ASTORIA,OR,97103-3329,3,146280832.0,155406915.0,142760528.0,201812.0,T22Z
6179,15983363,EFILE,943237150,201712,12/7/2018 11:42:05 AM,PACIFICORP UNION EMPLOYEES WELFARE BENEFIT TRUST,990O,93493311021778,201823119349302177,PACIFICORP UNION EMPLOYEES WELFARE BENEFITS TRUST,% NIKKI KOBLIHA,825 NE MULTNOMAH ST STE 1900,PORTLAND,OR,97232-2151,9,144886960.0,201998714.0,27523966.0,201812.0,
4598,16506936,EFILE,930391586,201806,7/19/2019 11:16:00 AM,LINFIELD COLLEGE,990,93493135023709,201901359349302370,LINFIELD COLLEGE,% E LEE SARVER,900 SE BAKER ST,MCMINNVILLE,OR,97128-6894,3,144467624.0,261526045.0,112152044.0,201806.0,B420
3865,16334356,EFILE,936021111,201806,5/22/2019 10:24:35 PM,OREGON-WASHINGTON CARPENTERS-EMPLOYERS HEALTH AND WELFARE TRUST FUND,990O,93493119008099,201941199349300809,OREGON-WASHINGTON CARPENTERS EMPLOYERS HEALTH AND WELFARE FUND,,PO BOX 4148,PORTLAND,OR,97208-4148,9,142965427.0,106282076.0,81819652.0,201806.0,
5234,16123100,EFILE,930396847,201712,2/23/2019 9:05:25 AM,MID-VALLEY HEALTHCARE INC,990,93493319184688,201833199349318468,MID-VALLEY HEALTHCARE INC,% SHS ACCOUNTING,PO BOX 3000,CORVALLIS,OR,97339-3000,3,137625322.0,58789564.0,135958164.0,201812.0,E220
2647,16701429,EFILE,930453216,201809,9/28/2019 12:09:58 AM,ROGUE VALLEY MANOR,990,93493211016019,201912119349301601,ROGUE VALLEY MANOR,% RETIREMENT SERVICES,1200 MIRA MAR AVE,MEDFORD,OR,97504-8546,3,135128452.0,241861290.0,60843932.0,201809.0,P75
5456,16077727,EFILE,930386936,201712,2/8/2019 8:26:25 PM,MID-COLUMBIA MEDICAL CENTER,990,93493317016988,201833179349301698,MID-COLUMBIA MEDICAL CENTER,,PO BOX 1580,THE DALLES,OR,97058-8004,3,132115850.0,63130359.0,132115850.0,201812.0,E220
4840,16211489,EFILE,930281321,201803,4/10/2019 7:06:36 PM,SILVERTON HEALTH DBA LEGACY SILVERTON HEALTH,990,93493046024569,201910469349302456,SILVERTON HEALTH,,342 FAIRVIEW ST,SILVERTON,OR,97381-1917,3,132100399.0,47221162.0,132100399.0,201803.0,E220
2255,16792703,EFILE,930300375,201812,10/29/2019 4:45:19 PM,UMATILLA ELECTRIC COOPERATIVE,990O,93493233010109,201902339349301010,UMATILLA ELECTRIC COOPERATIVE ASSOCIATION,% PERATWE,750 W ELM AVE,HERMISTON,OR,97838-1282,12,129390908.0,208832452.0,129270989.0,201812.0,
4814,16287875,EFILE,930505325,201804,5/10/2019 4:38:26 PM,GRANDE RONDE HOSPITAL INC,990,93493057000259,201900579349300025,GRANDE RONDE HOSPITAL INC,,900 SUNSET DR,LA GRANDE,OR,97850-1387,3,111491597.0,115208193.0,105739315.0,201804.0,E220
3770,16360301,EFILE,930425580,201806,5/30/2019 6:30:05 PM,GOOD SHEPHERD HEALTH CARE SYSTEM,990,93493130053189,201931309349305318,GOOD SHEPHERD HEALTH CARE SYSTEM,% JAN D PETER,610 NW 11TH ST,HERMISTON,OR,97838-6601,3,107904557.0,204208452.0,107846516.0,201806.0,E220
5166,16100469,EFILE,931329784,201712,2/15/2019 12:52:38 PM,SAMARITAN PACIFIC HEALTH SERVICES,990,93493319184698,201843199349318469,SAMARITAN PACIFIC HEALTH SERVICES INC,,930 SW ABBEY ST,NEWPORT,OR,97365-4820,3,102410670.0,53952353.0,102272576.0,201812.0,E22
2140,16942819,EFILE,936090239,201812,12/11/2019 6:13:07 AM,SCHOOL DISTRICT NO 1 HEALTH AND WELFARE TRUST FUND,990O,93493304018929,201923049349301892,SCHOOL DISTRICT 1 HEALTH & WELFARE TRUST FUND,% ASSOCIATED THIRD PARTY ADMIN,700 NE MULTNOMAH ST STE 350,PORTLAND,OR,97232-4197,9,101052117.0,30583727.0,90985758.0,201812.0,
4402,16286588,EFILE,930728816,201806,5/10/2019 10:33:56 AM,CENTRAL CITY CONCERN,990,93493087012609,201900879349301260,CENTRAL CITY CONCERN INC,% DARYLE MADDOCK,232 NW 6TH AVE,PORTLAND,OR,97209-3609,3,100721214.0,150418862.0,100600730.0,201806.0,F22Z
5778,15788371,EFILE,931143759,201712,10/12/2018 6:07:42 PM,UNITED ASSOCIATION PLUMBER STMFTR AND SHPFTR INDUSTRY RETIREE HEALTH TR,990O,93493218014518,201812189349301451,UNITED ASSOCIATION PLUMBER STMFTR & SHPFTR INDSTRY RETIREE HEALTH TR,% PATI PIRO-BOSLEY,12205 SW TUALATIN RD STE 200,TUALATIN,OR,97062-7919,9,97631617.0,146559950.0,22989037.0,201812.0,
6017,15891972,EFILE,30373895,201712,11/8/2018 8:59:20 AM,JAMES F AND MARION L MILLER FOUNDATION,990PF,93491268006088,201832689349100608,JAMES F AND MARION L MILLER FOUNDATION,% CHARLES H PUTNEY,1905 SE 10TH AVE,PORTLAND,OR,97214-4659,3,93510384.0,156709927.0,,201812.0,T22
5466,16076588,EFILE,930492535,201712,2/8/2019 4:39:50 PM,OREGON COMMUNITY CREDIT UNION,990O,93493318123918,201813189349312391,OREGON COMMUNITY CREDIT UNION,,PO BOX 77002,SPRINGFIELD,OR,97475-0146,14,93359469.0,1708221881.0,93359469.0,201812.0,
4810,16205776,EFILE,930391591,201804,4/3/2019 6:38:44 PM,MASONIC AND EASTERN STAR HOME OF OREGON INC,990,93493028010619,201910289349301061,MASONIC AND EASTERN STAR HOME,,2150 MASONIC WAY,FOREST GROVE,OR,97116-2020,3,89895983.0,62261208.0,13778919.0,201904.0,E910
5187,16142948,EFILE,930622075,201712,3/4/2019 3:44:10 PM,NORTHWEST MEDICAL FOUNDATION TILLAMOOK DBA TILLAMOOK REGIONAL MEDICAL CENTER,990,93493355006488,201833559349300648,NORTHWEST MEDICAL FOUNDATION OF TILLAMOOK,,1000 3RD ST,TILLAMOOK,OR,97141-3430,3,88258938.0,65583470.0,88258938.0,201812.0,E220
4113,16359854,EFILE,930391614,201806,5/30/2019 5:40:49 PM,ST ANTHONY HOSPITAL,990,93493130047239,201931309349304723,ST ANTHONY HOSPITAL,,1601 SE COURT AVE,PENDLETON,OR,97801-3217,3,85272940.0,167446052.0,85055225.0,201806.0,E220
5383,16142478,EFILE,936041903,201712,3/4/2019 2:09:33 PM,NELSON TRUST,990O,93493317082568,201813179349308256,NELSON TRUST,,5331 SW MACADAM AVE STE 220,PORTLAND,OR,97239-3839,9,81747437.0,46007874.0,29209335.0,201812.0,Y34
4967,16061762,EFILE,930163693,201712,2/4/2019 11:57:34 PM,SELCO COMMUNITY CREDIT UNION,990O,93493313035458,201803139349303545,SELCO COMMUNITY CREDIT UNION,,PO BOX 7487,SPRINGFIELD,OR,97475-0487,14,81209304.0,1616007565.0,76309863.0,201812.0,
6276,15942094,EFILE,930757655,201712,11/26/2018 11:02:23 AM,SHEET METAL WORKERS 16 HEALTH TR,990O,93493288020658,201802889349302065,SHEET METAL WORKERS 16 HEALTH AND WELFARE FUND,,PO BOX 4148,PORTLAND,OR,97208-4148,9,80083011.0,42398762.0,26902429.0,201812.0,
4044,16465710,EFILE,271789847,201806,7/5/2019 11:12:32 PM,SAINT ALPHONSUS MEDICAL CENTER - ONTARIO INC,990,93493134065849,201941349349306584,SAINT ALPHONSUS MEDICAL CENTER- ONTARIO INC,% PRESIDENT AND CEO,351 SW 9TH ST,ONTARIO,OR,97914-2639,3,79594493.0,71400438.0,79442806.0,201806.0,
3048,16244498,EFILE,930785786,201806,4/26/2019 7:12:01 AM,OREGON FOOD BANK INC,990,93493035011089,201930359349301108,OREGON FOOD BANK INC,,7900 NE 33RD DR,PORTLAND,OR,97211-1918,3,76872481.0,38648422.0,76516737.0,201906.0,
2429,16785387,EFILE,936021113,201812,10/28/2019 6:31:09 AM,UNITED ASSOCIATION UNION LOCAL NO 290 PLUMBER STEAMFITTER AND SHIPFITTER INDUSTRY H AND W PLAN,990O,93493248010149,201942489349301014,UNITED ASSOCIATION UNION LOCAL NO 290 PLUMBER & STEAMFITTER INDUSTRY,% PATI PIRO-BOSLEY,12205 SW TUALATIN RD STE 200,TUALATIN,OR,97062-7919,9,74825267.0,107720918.0,71615683.0,201812.0,
5343,16153264,EFILE,930251640,201712,3/7/2019 6:50:07 AM,ADVANTIS CREDIT UNION,990O,93493317079478,201823179349307947,ADVANTIS CREDIT UNION,,9200 SE SUNNYBROOK BLVD STE 300,CLACKAMAS,OR,97015-5765,14,73538502.0,1426868115.0,67814244.0,201812.0,
4106,16465767,EFILE,930770054,201806,7/5/2019 11:58:25 PM,CASCADIA BEHAVIORAL HEALTHCARE,990,93493135102429,201921359349310242,CASCADIA BEHAVIORAL HEALTHCARE INC,,PO BOX 8459,PORTLAND,OR,97207-8459,3,70828863.0,45104374.0,70828863.0,201806.0,F300
5551,16035666,EFILE,936021893,201712,1/28/2019 8:01:15 AM,COLLINS FOUNDATION,990PF,93491319048478,201823199349104847,COLLINS FOUNDATION,,1618 SW FIRST AVENUE NO 505,PORTLAND,OR,97201-5706,3,70629180.0,223890635.0,,201812.0,
5548,16053985,EFILE,931305493,201712,2/1/2019 3:51:28 PM,SAMARITAN NORTH LINCOLN HOSPITAL,990,93493319181338,201833199349318133,SAMARITAN NORTH LINCOLN HOSPITAL,% SHS ACCOUNTING,3043 NE 28TH ST,LINCOLN CITY,OR,97367-4518,3,68518709.0,35200645.0,68363501.0,201812.0,E22
2708,16761909,EFILE,383849354,201809,10/18/2019 7:33:40 PM,ASANTE PHYSICIAN PARTNERS,990,93493226000429,201922269349300042,ASANTE PHYSICIAN PARTNERS,,2635 SLAKFYON BLVD,MEDFORD,OR,97504-0000,3,67697017.0,32294234.0,67697017.0,201809.0,E80
836,16558493,EFILE,930389726,201812,8/9/2019 1:51:40 PM,NORTHWEST COMMUNITY CREDIT UNION,990O,93493134040049,201941349349304004,NORTHWEST COMMUNITY CREDIT UNION,,PO BOX 10607,EUGENE,OR,97440-2607,14,67340225.0,1154635512.0,67314639.0,201812.0,
2351,16541839,EFILE,930444581,201812,8/2/2019 3:31:38 PM,OREGON STATE CREDIT UNION,990O,93493133058999,201941339349305899,OREGON STATE CREDIT UNION,,PO BOX 306,CORVALLIS,OR,97339-0306,14,67232349.0,1316827425.0,59866405.0,201812.0,
2749,16765740,EFILE,931179254,201809,10/21/2019 5:16:19 PM,UNIVERSITY RETIREMENT COMMUNITY AT DAVIS,990,93493224000199,201942249349300019,UNIVERSITY RETIREMENT COMMUNITY AT DAVIS INC,% PRS MANAGEMENT INC,1 W MAIN ST STE 303,MEDFORD,OR,97501-2796,3,62288013.0,101732823.0,29920055.0,201809.0,P75
2052,16928000,EFILE,936024141,201812,12/6/2019 6:50:09 AM,OREGON LABORERS EMPLOYERS HEALTH AND WELFARE TR FUND,990O,93493297017259,201902979349301725,OREGON LABORERS-EMPLOYERS HEALTH AND WELFARE TRUST FUND,,PO BOX 4148,PORTLAND,OR,97208-4148,9,61168913.0,28144787.0,32713533.0,201812.0,
5558,16103243,EFILE,930591240,201712,2/15/2019 11:13:37 PM,OREGON CHILD DEVELOPMENT COALITION,990,93493318104548,201843189349310454,OREGON CHILD DEVELOPMENT COALITION INC,,PO BOX 2780,WILSONVILLE,OR,97070-2780,3,60338465.0,27791351.0,60338465.0,201812.0,P84Z
5391,16128592,EFILE,930243503,201712,2/26/2019 1:43:05 PM,UNITUS COMMUNITY CREDIT UNION,990O,93493319189288,201833199349318928,UNITUS COMMUNITY CREDIT UNION,% KACIE ELLIS,PO BOX 1937,PORTLAND,OR,97207-1937,14,57938759.0,1180174600.0,57885299.0,201812.0,
4898,16150573,EFILE,930717997,201803,3/6/2019 2:03:06 PM,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,990,93493337003848,201843379349300384,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,% DEANNA VAWSER,PO BOX 6149,ALOHA,OR,97007-0149,3,57842368.0,50724824.0,57741618.0,201903.0,E32Z
6244,16005495,EFILE,930958642,201712,12/14/2018 5:21:47 PM,OREGON TRAIL ELECTRIC CONSUMERS COOPERATIVE INC,990O,93493306009338,201833069349300933,OREGON TRAIL ELECTRIC CONSUMERS COOPERATIVE INC,,PO BOX 226,BAKER CITY,OR,97814-0226,12,56957814.0,132858244.0,56957814.0,201812.0,
2397,16646829,EFILE,931300043,201812,9/13/2019 8:42:01 AM,VOCATIONAL DEVELOPMENT FOUNDATION,990,93493178011039,201931789349301103,VOCATIONAL DEVELOPMENT FOUNDATION,,1943 SE 6TH AVE,PORTLAND,OR,97214-4508,3,55011797.0,157856365.0,28101048.0,201812.0,J30
2784,16295102,EFILE,930878944,201809,5/13/2019 9:10:15 PM,MEDICAL TEAMS INTERNATIONAL,990,93493080006419,201910809349300641,MEDICAL TEAMS INTERNATIONAL,,14150 SW MILTON CT,PORTLAND,OR,97224-8024,3,54791815.0,32345042.0,53372388.0,201809.0,Q300
5603,16085590,EFILE,936024307,201712,2/11/2019 3:46:40 PM,RIVERMARK COMMUNITY CREDIT UNION,990O,93493319077968,201813199349307796,RIVERMARK COMMUNITY CREDIT UNION,% CHRIS CARDWELL,8505 SW CREEKSIDE PL,BEAVERTON,OR,97008-7165,14,54586028.0,857074350.0,54539784.0,201812.0,
4322,16476898,EFILE,930468214,201806,7/11/2019 12:57:24 PM,RELAY RESOURCES,990,93493130048829,201921309349304882,RELAY RESOURCES,,5312 NE 148TH AVE,PORTLAND,OR,97230-3438,3,54452941.0,77970810.0,40699731.0,201806.0,J300
