,year,ein,object_id,taxpayer_name,compensation
3772,2018,43603409,201941359349309949,WEST SALEM HIGH SCHOOL EDUCATION FOUNDATION,0
1724,2018,460987167,201941359349309279,KAIROSPDX,1423855
3794,2018,237199077,201941359349307619,GRAND RONDE COMMUNITY WATER ASSOCIATION,227743
3468,2018,931264009,201941359349307199,WILLAMETTE ANIMAL GUILD,386218
1308,2018,930751310,201941359349306994,EUGENESPRINGFIELD CONVENTION AND VISITORS BUREAU INC,1454637
5444,2018,931064935,201941359349304494,SCHOOL FOUNDATION INC,47661
4012,2018,930824369,201941359349304389,INDEPENDENT DEFENDERS INC,10800
3440,2018,300002011,201941359349304329,CARING AMBASSADORS PROGRAM INC,433670
4322,2018,311677531,201941359349301784,COMMUNITY HOUSING SERVICES,0
5602,2018,930624349,201941349349309889,MENTAL HEALTH ASSOCIATION OF BENTON COUNTY,192153
66,2018,930430029,201941349349309339,TUALITY HEALTHCARE,106343780
6528,2018,202344144,201941349349309249,RENAISSANCE COURT INC,0
930,2018,930681409,201941349349309044,CHILDPEACE MONTESSORI COMMUNITY,3625298
4730,2018,237444610,201941349349309034,OPEN DOOR FOUNDATION,0
812,2018,472845537,201941349349308689,EL PROGRAMA HISPANO CATOLICO,4045953
2798,2018,300030212,201941349349308504,IMPLEMENTATION SCIENCES INTERNATIONAL INC,671289
136,2018,271789847,201941349349306584,SAINT ALPHONSUS MEDICAL CENTER - ONTARIO INC,31552986
2038,2018,930576782,201941349349306089,CENTRAL INSIDE ELECTRICAL JOINT APPRENTICESHIP AND TRAINING TRUST,571888
2044,2018,930751507,201941349349306074,TUALITY HEALTHCARE FOUNDATION,0
1748,2018,813225629,201941349349305894,CBRS ALLIANCE CO VITAL TECHNICAL MARKETING INC,0
154,2018,930389726,201941349349304004,NORTHWEST COMMUNITY CREDIT UNION,22922668
2030,2018,930386851,201941349349303314,JEWISH FAMILY AND CHILD SERVICE,1270416
1328,2018,800252850,201941349349301519,APANO COMMUNITIES UNITED FUND,1206270
644,2018,931099406,201941349349301439,LINN BENTON FOOD SHARE,0
2402,2018,931283107,201941349349301414,BODYVOX INC,725095
5152,2018,931202061,201941349349300204,CHIMPS INC,189927
1822,2018,936088946,201941339349308174,MERCY FOUNDATION INC,0
6536,2018,263758815,201941339349307884,RICHARD E WILDISH COMMUNITY THEATER,71706
6472,2018,311715321,201941339349307829,RVM MYRTLE CREEK II HOUSING CORPORATION PLAZA RETIREMENT COMMUNITY,37416
4908,2018,900292647,201941339349307784,RVM MANSFIELD HOUSING CORPORATION MAGNOLIA HEIGHTS RETIREMENT COMMUNITY,120950
3558,2018,931064520,201941339349307699,SEXUAL ASSAULT SUPPORT SERVICES,453895
5574,2018,943212537,201941339349307694,RVM MEDFORD II HOUSING CORPORATION LARSON CREEK RETIREMENT CENTER,117504
4110,2018,311662208,201941339349307674,RVM DAVIS HOUSING CORPORATION SHASTA POINT RETIREMENT COMMUNITY,124731
6460,2018,943260016,201941339349307609,RVM BEND II HOUSING CORPORATION PILOT BUTTE II RETIREMENT CENTER,46796
4914,2018,300037898,201941339349307589,RVM PORTLAND II HOUSING CORPORATION WOODLAND HEIGHTS RETIREMENT COMMUNITY,126626
6790,2018,454839314,201941339349307454,CSP KEHILLAH HOUSING,17726
4892,2018,237448353,201941339349307404,ANIMAL AID INC,129512
2270,2018,208049325,201941339349307374,LONG TOM WATERSHED COUNCIL,449185
4962,2018,810603385,201941339349306824,POLARIS DANCE THEATRE,208993
1644,2018,911748485,201941339349306429,DESCHUTES RIVER CONSERVANCY,631856
6328,2018,911805850,201941339349306394,BREES FOUNDATION FOR BREAST CANCER,96570
3258,2018,272131195,201941339349306169,CENTRAL OREGON LOCAVORE,104894
156,2018,930444581,201941339349305899,OREGON STATE CREDIT UNION,21347032
7320,2018,472174084,201941339349303499,R10 MINISTRIES INC,0
6932,2018,931191688,201941339349303494,CHILDRENS MUSEUM OF EASTERN OREGON,35142
6754,2018,930508041,201941339349301894,FRIENDSHIP MASONIC LODGE NO 160 AF AND AM,9000
5072,2018,931268069,201941339349301889,ELKTON COMMUNITY EDUCATION CENTER INC,153574
278,2018,930386880,201941339349301164,OREGON HUMANE SOCIETY,10822447
786,2018,930845182,201941339349300344,OREGON COLLEGE OF ORIENTAL MEDICINE,4503949
3734,2018,930878422,201941339349300339,ALLIANCE FRANCAISE DE PORTLAND,299626
4848,2018,510489285,201941319349300339,COLLECTIVE EYE,115163
3394,2018,930936464,201941309349305504,HILLSBORO SWIM TEAM,269125
540,2018,930400250,201941309349305374,AGRICULTURAL RESEARCH FOUNDATION,287796
5052,2018,936025357,201941309349305359,VERY LITTLE THEATRE INC,44053
364,2018,930977166,201941309349305149,HUMAN SOLUTIONS INC,5007833
7002,2018,931218274,201941309349304979,COBURN WOODS INC,0
5716,2018,911803863,201941309349304929,OREGON FOSTER PARENT ASSOCIATION,0
1760,2018,465759569,201941309349304909,CHILDRENS CANCER THERAPY DEVELOPMENT INSTITUTE,858050
4122,2018,813713195,201941309349304879,GEN-Z CONSORTIUM INC CO VITAL TECHNICAL MARKETING INC,0
5706,2018,911829239,201941309349304564,COALITION OF COMMUNITY HEALTH CLINICS,261272
6256,2018,930945870,201941309349304364,ROCKY POINT FIRE AND EMS,36238
7070,2018,237181141,201941309349304084,POLK COUNTY HISTORICAL SOCIETY,0
34,2018,930257765,201941309349303759,ONPOINT COMMUNITY CREDIT UNION,65732230
5866,2018,813934437,201941309349303299,BUILT OREGON BUILT OREGON,0
3238,2018,936024785,201941309349303079,OREGON PHYSICAL THERAPY ASSOCIATION,0
662,2018,731675402,201941309349302999,LATINO NETWORK,5646671
496,2018,273445544,201941309349301724,ORBIS CASCADE ALLIANCE,981823
524,2018,510163758,201941309349301614,OREGON INSURANCE GUARANTY ASSOCIATION,143582
2370,2018,930696250,201941309349301019,OREGON COAST COUNCIL FOR THE ARTS,236988
4224,2018,510185021,201941309349300929,OREGON CENTER FOR THE PHOTOGRAPHIC ARTS,171580
2682,2018,452747042,201941309349300924,AIRFUEL ALLIANCE CO VITAL TECHNICAL MARKETING INC,196366
4390,2018,930446513,201941309349300234,COOS COUNTY HISTORICAL SOCIETY,243968
772,2018,930429354,201941299349302729,SUNSHINE DIVISION INC,688121
4088,2018,931167487,201941299349302104,PRIDE NORTHWEST INC,70991
280,2018,911833480,201941299349301954,MARYS WOODS AT MARYLHURST INC,14650582
2588,2018,931124364,201941299349301649,OYA NO KAI,34349
536,2018,930470717,201941299349300039,OREGON STATE UNIVERSITY ALUMNI ASSOCIATION INC,2135659
7124,2018,465178920,201941289349301494,FORUM86,0
888,2018,931250581,201941289349301439,WATERFALL CLINIC INC,3809504
6740,2018,237151063,201941279349301259,FRIENDS CHURCH EXTENSION FUND,0
7140,2018,470877475,201941279349300244,OREGON RANGELAND TRUST,0
3012,2018,352269965,201941229349301804,SILETZ VALLEY EARLY COLLEGE ACADEMY,502332
2040,2018,593815980,201941229349301639,MADRONE TRAIL INITIATIVE,1537195
1616,2018,930208571,201941229349300979,LAKE OSWEGO CORPORATION,839253
670,2018,931268942,201941219349301809,GRADUATE TEACHING FELLOWS HEALTH AND WELFARE TRUST LOCAL 3544,0
5500,2018,383739151,201941219349301269,NETWORK OF OREGON WATERSHED COUNCILS,109802
980,2018,943166095,201941219349301149,WILD SALMON CENTER,2238825
3566,2018,205460326,201941219349300604,NORTH FORK JOHN DAY WATERSHED COUNCIL,399488
5742,2018,930858044,201941209349301804,PTO FOREST HILLS ELEMENTARY SCHOOL,0
2406,2018,352421535,201941209349301149,TIGER PRESERVATION CENTER INC,145697
6718,2018,943169195,201941209349300724,OREGON AGRICULTURE FOUNDATION,0
5214,2018,931154632,201941199349301609,ELIM OUTREACH MINISTRY,0
3520,2018,930727839,201941199349301519,SALEM CATHOLIC SCHOOLS FOUNDATION,0
5086,2018,931177836,201941199349301074,OREGON STATE PARKS FOUNDATION,235884
92,2018,936021111,201941199349300809,OREGON-WASHINGTON CARPENTERS-EMPLOYERS HEALTH AND WELFARE TRUST FUND,0
5672,2018,931280970,201941179349300014,POLK COUNTY LIVESTOCK ASSOCIATION,0
6948,2018,931166811,201941169349301514,LIVING DHARMA,15000
4378,2018,936036653,201941169349301064,LEWIS AND CLARK NATIONAL PARK ASSOCIATION,137270
2524,2018,522368753,201941169349300934,EMERSON SCHOOL,731103
2872,2018,931141508,201941169349300844,NEWBERG AREA HABITAT FOR HUMANITY,166069
2816,2018,320114739,201941169349300839,BETHANY CHARTER SCHOOL,725682
960,2018,930196216,201941169349300804,INTERNATIONAL BROTHERHOOD OF 0125 LOCAL,2206692
1144,2018,930386850,201941169349300629,MITTLEMAN JEWISH COMMUNITY CENTER,2079658
4614,2018,930112196,201941159349300139,CLATSOP POST 12 AMERICAN LEGION,77069
6392,2018,943163912,201941149349301049,DALLES-WASCO COUNTY LIBRARY FOUNDATION,0
3854,2018,931041158,201941149349300144,OAK STREET CHILD DEVELOPMENT CENTER INC,388957
5852,2018,930884716,201941139349301514,GUJARATI SAMAJ INC,0
7064,2018,936042747,201941139349300419,HAPPY CANYON FOUNDATION INC,0
836,2018,760751239,201941079349300544,BRIDGES TO CHANGE INC,3639084
4838,2018,930920785,201941079349300334,SOUTHERN OREGON REPERTORY SINGERS,145038
5804,2018,911921552,201941069349300344,HEART OF HOPE MINISTRIES INTL,28420
2490,2018,270723181,201941059349301049,SHERIDAN ALLPREP ACADEMY,803413
4752,2018,201006407,201941059349301044,ARMORY THEATER FUND,0
7180,2018,237052840,201941059349300739,JUNIOR LEAGUE OF JACKSON COUNTY,0
6236,2018,464703589,201941029349300529,RIVERS OF LIFE CENTER,76816
1696,2018,931102228,201941019349301154,METRO MULTIFAMILY HOUSING ASSOCIATION,580433
6272,2018,930576774,201941019349301124,ROSEBURG SENIOR CENTER,0
2168,2018,743192567,201940969349300514,MENNONITE SERVICES NORTHWEST INC,1070594
1722,2018,930386836,201940959349300924,FRUIT AND FLOWER DAY NURSERY DBA FRUIT AND FLOWER CHILD DEVELOPMENT CEN,1773154
5688,2018,930673430,201940949349300329,DOME SCHOOL INC,120479
4688,2018,465268593,201940939349301304,PROJECT LIVING HOPE,63326
7182,2018,611524236,201940939349300319,NORTHWEST FOOD PROCESSORS EDUCATION RESEARCH INSTITUTE,20163
1298,2018,930639118,201940929349300724,QUADRIPLEGICS UNITED AGAINST DEPENDENCY INC,2882477
1602,2018,203206107,201940919349300744,NORTHWEST COLLEGE OF CONSTRUCTION,1279364
420,2018,930644303,201940889349300514,COLUMBIA COMMUNITY MENTAL HEALTH INC,12576704
5630,2018,464190513,201940859349300914,VILLAGES NW METRO,47062
1214,2018,930256538,201940859349300344,USAGENCIES CREDIT UNION,1214062
598,2018,930584318,201940849349300549,MEALS ON WHEELS PEOPLE INC,5239622
3360,2018,936031284,201940849349300519,PORTLAND ROTARY CHARITABLE TRUST,0
932,2018,237438072,201940809349300034,CEDAR MILL COMMUNITY LIBRARY ASSOCIATION OF WASHINGTON COUNTY,3446414
6176,2018,930608936,201940799349300609,CORRIB THEATRE,139031
2096,2018,930372286,201940799349300124,COLUMBIA RIVER YACHT CLUB,496954
6166,2018,454331368,201940749349301279,VOICES OF PROBLEM GAMBLING RECOVERY INC,50392
2298,2018,930851068,201940739349301474,FAMILY DEVELOPMENT CENTER,1095139
4250,2018,930641092,201940739349300044,NEIGHBORHOODS WEST-NORTHWEST,205535
964,2018,930928640,201940729349300029,HEAD START OF YAMHILL COUNTY,3688231
7132,2018,911774616,201940719349301064,COOS BAY TRAWLERS ASSOCIATION INC,27875
262,2018,931268744,201940709349300864,GALT FOUNDATION,26663311
5260,2018,930724486,201940709349300839,SUNDANCE MEADOWS INC,143401
4184,2018,680577560,201940689349300424,SALEM FRIENDS OF FELINES,154134
5338,2018,452901016,201940689349300419,CRGC EDUCATIONAL FOUNDATION INC,0
6496,2018,453456890,201940669349301374,DALLES MAIN STREET PROGRAM,72179
4372,2018,930671963,201940649349300914,MCKENZIE RIVER CLINIC,341097
2772,2018,931290284,201940649349300604,FRIENDS OF THE CHILDREN,343493
1124,2018,930886373,201940639349301319,LANE WORKFORCE PARTNERSHIP,816755
3466,2018,930779926,201940639349301104,ROGUE VALLEY VETERANS AND COMMUNITY OUTREACH,362189
2578,2018,262795064,201940639349300919,METROPOLITAN CONTRACTORS IMPROVEMENT PARTNERSHIP,195428
2442,2018,930506233,201940619349300414,IMAGINE POSSIBILITIES INC,884018
196,2018,930619733,201940609349301604,PORTLAND STATE UNIVERSITY FOUNDATION,7458587
84,2018,930386972,201940609349301514,WILLAMETTE UNIVERSITY,61320475
1640,2018,931158243,201940609349301509,PORTLAND THEATER PRODUCTIONS,377804
4296,2018,452657743,201940599349301419,OREGON CASA NETWORK,18021
3142,2018,931249369,201940599349301404,NESTUCCA NESKOWIN AND SAND LAKE WATERSHED COUNCIL,78265
2736,2018,270056693,201940599349301044,ATTORNEY GENERALS SEXUAL ASSAULT TASK FORCE,447468
938,2018,510179336,201940599349300849,HIGH DESERT MUSEUM,2513348
2026,2018,930197580,201940589349301614,CHAMBER OF MEDFORDJACKSON COUNTY,705708
2822,2018,943051415,201940589349300449,JOSEPHINE COUNTY LIBRARY FOUNDATION,0
5694,2018,930517961,201940579349301354,NORTHWEST AUTOMOTIVE TRADES ASSOCIATION INC,146520
3590,2018,930460749,201940579349300814,PRESBYTERIAN NURSING HOME,142042
342,2018,931019725,201940579349300334,OREGON JEWISH COMMUNITY FOUNDATION,738724
728,2018,271643351,201940579349300229,LOGOS PUBLIC CHARTER SCHOOL,4282926
4260,2018,930329226,201940539349300949,PRINEVILLE-CROOK CO CHAMBER OF COMMERCE,139187
3508,2018,930228793,201940539349300824,MOLALLA BUCKEROO ASSOCIATION INC,0
1948,2018,931131186,201940539349300434,ASHBROOK INDEPENDENT SCHOOL,1447080
6950,2018,237005940,201940529349300734,ROTARY INTERNATIONAL - HERMISTON,0
6628,2018,753181967,201940519349300434,UMPQUA VALLEY CAL RIPKEN ROSEBURG CAL RIPKEN INC,14545
5380,2018,202934930,201940509349301104,STRENGTHENING RURAL FAMILIES,209225
4210,2018,200213467,201940509349300924,PACIFIC YOUTH CHOIR,249233
5258,2018,930609350,201940509349300149,ORGANIZATION OF THE FORGOTTEN AMERICAN,266563
1438,2018,931159383,201940499349300919,OAK TREE FOUNDATION INC,0
88,2018,930686108,201940499349300119,NWEA,89065959
884,2018,931233656,201940479349300119,JPR FOUNDATION INC,0
5290,2018,930581523,201940479349300014,OREGON QUARTER HORSE RACING ASSOCIATION,18000
6852,2018,743058786,201940469349302454,SOUTHERN OREGON CENTER FOR COMMUNITY PARTNERSHIPS,0
86,2018,930591528,201940469349302219,LEGACY MOUNT HOOD MEDICAL CENTER,70751880
1080,2018,451458218,201940469349302214,SYMMETRY CARE INC,2817856
1470,2018,931314469,201940469349301649,RANDALL CHILDRENS HOSPITAL FOUNDATION,0
3300,2018,452586013,201940469349301334,GREENSPRINGS LEARNING COMMUNITY,490869
3150,2018,237088818,201940469349301309,OREGON-SW WASHINGTON MASON TRADES JATC,172081
848,2018,930605594,201940449349301664,FAMILY SOLUTIONS INC,4787109
558,2018,931037330,201940449349301249,NETWORK FOR OREGON AFFORDABLE HOUSING,1156830
2564,2018,421762561,201940449349300439,HOPE STATION COMMUNITY SERVICES IN,112501
5162,2018,931285644,201940439349301504,SOUTHERN OREGON VETERANS BENEFIT,0
4644,2018,800038835,201940439349301209,OREGON AFFORDABLE HOUSING MANAGEMENT ASSOCIATION,88437
1222,2018,943143232,201940439349300449,ROGUE WORKFORCE PARTNERSHIP,670530
52,2018,930401259,201940439349300309,UNIVERSITY OF PORTLAND,78121967
4480,2018,931166521,201940429349301174,COHO PRODUCTIONS INC,174016
682,2018,930388917,201940429349300999,CATHOLIC COMMUNITY SERVICES FOUNDATION,888462
2326,2018,931186407,201940429349300909,DESCHUTES LAND TRUST,616471
6942,2018,271969337,201940429349300759,ST MARYS OUTREACH INC,9133
1130,2018,930114390,201940399349301509,ARLINGTON CLUB,1007369
3020,2018,911672700,201940389349301464,SPARROW CLUBS USA,330335
2092,2018,931331681,201940389349301224,BEND INTERNATIONAL SCHOOL INC,1080781
4826,2018,943183802,201940379349301129,FRIENDS OF THE SALEM SENIOR CENTER,0
5232,2018,930756833,201940369349301119,HELPING HANDS AGAINST VIOLENCE INC,189070
3570,2018,911846393,201940369349300734,CORVALLIS TOURISM CONVENTION AND VISITORS BUREAU,235005
1970,2018,271434361,201940359349301219,POWELL BUTTE COMMUNITY CHARTER SCHOOL,1330441
410,2018,930685734,201940329349301229,LUKE-DORF INC,9225316
5010,2018,931204172,201940319349301109,DUNIWAY EDUCATIONAL FOUNDATION,0
4778,2018,205717653,201940319349300914,DUAL DIAGNOSIS ANONYMOUS OF OREGON,264911
7020,2018,930811442,201940319349300409,TERRITORIAL SPORTS PROGRAM,0
926,2018,522146673,201940309349301309,STAND FOR CHILDREN INC,1220240
6578,2018,931102215,201940309349301029,REBEL ATHLETIC FOUNDATION INC,0
1750,2018,931255401,201940309349300349,EDUCATION TRAVEL AND CULTURE INC,947062
5358,2018,510186372,201940309349300124,ARTS COUNCIL OF PENDLETON INC,161077
940,2018,931240928,201940299349301374,OREGON BUSINESS COUNCIL CHARITABLE INSTITUTE,441119
2350,2018,930669357,201940299349301004,MALHEUR COUNCIL ON AGING AND COMMUNITY SERVICES,646392
904,2018,930843383,201940299349300544,TILLAMOOK FAMILY COUNSELING CENTER,3861031
706,2018,270294759,201940299349300234,LIFE FLIGHT NETWORK FOUNDATION,347284
6362,2018,930503477,201940299349300049,OREGON STATE ELKS ASSOCIATION,42366
2980,2018,263869062,201940289349300869,ENERGY SECTOR SECURITY,348131
948,2018,930670856,201940259349300674,STEP FORWARD ACTIVITIES INC,3320684
4258,2018,237181999,201940249349300384,ASSOCIATED STUDENTS OF LINFIELD COLLEGE,0
2186,2018,930747109,201940249349300204,LEADINGAGE OREGON,396680
4290,2018,931258357,201940239349300644,WEBFOOT JUNIORS VOLLEYBALL CLUB,152544
6786,2018,931147575,201940239349300539,WITHERSPOON COURT INC,0
3598,2018,474687471,201940239349300324,FAMILY JUSTICE CENTER OF WASHINGTON COUNTY,76510
2958,2018,931172258,201940239349300149,HABITAT FOR HUMANITY OF LINCOLN COUNTY,511452
4488,2018,936031783,201940239349300119,LITTLE THEATRE ON THE BAY,0
896,2018,930751741,201940219349300109,SUNNY OAKS INC,4556228
2048,2018,930971629,201940189349300634,HABITAT FOR HUMANITY ROGUE VALLEY,357885
3832,2018,930744941,201940189349300104,STEPHENSON CHILDRENS CARE ASSOCIATION I,395820
7116,2018,930821228,201940159349301259,NORTH PORTLAND BIBLE COLLEGE,73455
2550,2018,931248359,201940159349301164,SANDY DRAINAGE IMPROVEMENT COMPANY,0
4896,2018,113765572,201940159349300824,NATIONAL SHOE TRAVELERS ASSOCIATION,59583
4796,2018,931255889,201940149349301214,GOSPEL ECHOES NORTHWEST INC,75836
3560,2018,931220479,201940149349300894,CASA OF DOUGLAS COUNTY INC,350755
3816,2018,452963767,201940149349300794,UMPQUA ECONOMIC DEVELOPMENT PARTNERSHIP INC,262855
3334,2018,936066392,201940129349300009,GLAZIERS APPRENTICESHIP AND JOURNEYMAN TRAINING FUND,151158
1976,2018,930332519,201940119349300929,RACQUET CLUB INC,440900
1762,2018,930638079,201940119349300909,ROCKWEST TRAINING COMPANY INC,1167977
2500,2018,930803583,201940109349301764,BEREAN CALL,737646
5124,2018,141941732,201940109349301559,SSJ INC,71901
6172,2018,936041284,201940109349300804,MEDFORD SENIOR CENTER,19818
1520,2018,931114601,201940099349300709,OREGON FAMILY SUPPORT NETWORK,1760887
886,2018,930386901,201940099349300219,CAMP FIRE COLUMBIA,2913230
6438,2018,936127035,201940089349301239,EMPLOYERS-SHOPMENS LOCAL NO 516 TRAINEE TRUST,75439
5826,2018,930498861,201940079349300159,MULTNOMAH COUNTY FARM BUREAU,4297
5786,2018,272666052,201932199349300878,SOUTH WATERFRONT COMMUNITY RELATIONS,125899
1964,2018,930179776,201932199349300533,INTL BROTHERHOOD OF TEAMSTERS LOCAL 223,943822
6056,2018,311552940,201932199349300363,RIVERTREE APARTMENTS INC,50886
6208,2018,311552944,201932199349300313,PRESERVE JADE EAST APARTMENTS INC,51877
4116,2018,931099912,201932189349301328,NATIONAL ANIMAL INTEREST ALLIANCE,205842
